PNHOM	pnhom	PNHOM
positions	posit	position
to	to	to
other	other	other
parties	parti	party
if	if	if
the	the	the
CNRP	cnrp	CNRP
is	is	is
dissolved	dissolv	dissolved
.	.	.

Most	most	Most
of	of	of
the	the	the
seats	seat	seat
in	in	in
parliament	parliament	parliament
will	will	will
go	go	go
to	to	to
minor	minor	minor
parties	parti	party
while	while	while
local	local	local
councils	council	council
,	,	,
known	known	known
as	as	a
communes	commune	commune
,	,	,
will	will	will
be	be	be
taken	taken	taken
over	over	over
by	by	by
the	the	the
ruling	rule	ruling
party	parti	party
.	.	.

