SEOUL	seoul	SEOUL
it	it	it
and	and	and
China	china	China
to	to	to
repeat	repeat	repeat
the	the	the
drill	drill	drill
,	,	,
the	the	the
release	releas	release
said	said	said
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
said	said	said
in	in	in
a	a	a
separate	separ	separate
statement	statement	statement
it	it	it
conducted	conduct	conducted
drills	drill	drill
with	with	with
Japanese	japanes	Japanese
fighters	fighter	fighter
after	after	after
the	the	the
exercise	exercis	exercise
with	with	with
South	south	South
Korea	korea	Korea
,	,	,
making	make	making
it	it	it
the	the	the
first	first	first
time	time	time
U	u	U
.	.	.
S	s	S
.	.	.
bombers	bomber	bomber
have	have	have
conducted	conduct	conducted
training	train	training
with	with	with
fighters	fighter	fighter
from	from	from
both	both	both
Japan	japan	Japan
and	and	and
South	south	South
Korea	korea	Korea
at	at	at
night	night	night
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
bombers	bomber	bomber
had	had	had
taken	taken	taken
off	off	off
from	from	from
the	the	the
Andersen	andersen	Andersen
Air	air	Air
Force	forc	Force
Base	base	Base
in	in	in
Guam	guam	Guam
.	.	.
In	in	In
August	august	August
,	,	,
Pyongyang	pyongyang	Pyongyang
threatened	threaten	threatened
to	to	to
fire	fire	fire
intermediate	intermedi	intermediate
-range	-rang	-range
missiles	missil	missile
toward	toward	toward
the	the	the
vicinity	vicin	vicinity
of	of	of
Guam	guam	Guam
,	,	,
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
Pacific	pacif	Pacific
territory	territori	territory
that	that	that
is	is	is
frequently	frequent	frequently
subjected	subject	subjected
to	to	to
sabre	sabr	sabre
-rattling	-rattl	-rattling
from	from	from
the	the	the
North	north	North
.	.	.
South	south	South
Korean	korean	Korean
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
officials	offici	official
have	have	have
been	been	been
raising	rais	raising
their	their	their
guard	guard	guard
against	against	against
more	more	more
North	north	North
Korean	korean	Korean
provocations	provoc	provocation
with	with	with
the	the	the
approach	approach	approach
of	of	of
the	the	the
72nd	72nd	72nd
anniversary	anniversari	anniversary
of	of	of
the	the	the
founding	found	founding
of	of	of
North	north	North
Korea	korea	Korea
s	s	s
ruling	rule	ruling
party	parti	party
,	,	,
which	which	which
fell	fell	fell
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
Trump	trump	Trump
hosted	host	hosted
a	a	a
discussion	discuss	discussion
on	on	on
Tuesday	tuesday	Tuesday
on	on	on
options	option	option
to	to	to
respond	respond	respond
to	to	to
any	ani	any
North	north	North
Korean	korean	Korean
aggression	aggress	aggression
or	or	or
,	,	,
if	if	if
necessary	necessari	necessary
,	,	,
to	to	to
prevent	prevent	prevent
Pyongyang	pyongyang	Pyongyang
from	from	from
threatening	threaten	threatening
the	the	the
United	unit	United
States	state	States
and	and	and
its	it	it
allies	alli	ally
with	with	with
nuclear	nuclear	nuclear
weapons	weapon	weapon
,	,	,
the	the	the
White	white	White
House	hous	House
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
Trump	trump	Trump
was	was	wa
briefed	brief	briefed
by	by	by
Secretary	secretari	Secretary
of	of	of
Defense	defens	Defense
James	jame	James
Mattis	matti	Mattis
and	and	and
Chairman	chairman	Chairman
of	of	of
the	the	the
Joint	joint	Joint
Chiefs	chief	Chiefs
of	of	of
Staff	staff	Staff
General	general	General
Joseph	joseph	Joseph
Dunford	dunford	Dunford
at	at	at
a	a	a
national	nation	national
security	secur	security
team	team	team
meeting	meet	meeting
,	,	,
the	the	the
statement	statement	statement
said	said	said
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
and	and	and
South	south	South
Korean	korean	Korean
wartime	wartim	wartime
operational	oper	operational
plans	plan	plan
,	,	,
including	includ	including
a	a	a
plan	plan	plan
to	to	to
wipe	wipe	wipe
out	out	out
the	the	the
North	north	North
Korean	korean	Korean
leadership	leadership	leadership
,	,	,
were	were	were
stolen	stolen	stolen
by	by	by
North	north	North
Korean	korean	Korean
hackers	hacker	hacker
last	last	last
year	year	year
,	,	,
a	a	a
South	south	South
Korean	korean	Korean
ruling	rule	ruling
party	parti	party
lawmaker	lawmak	lawmaker
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
Some	some	Some
235	235	235
gigabytes	gigabyt	gigabyte
of	of	of
military	militari	military
documents	document	document
were	were	were
taken	taken	taken
from	from	from
South	south	South
Korea	korea	Korea
s	s	s
Defense	defens	Defense
Integrated	integr	Integrated
Data	data	Data
Center	center	Center
in	in	in
September	septemb	September
last	last	last
year	year	year
,	,	,
Democratic	democrat	Democratic
Party	parti	Party
representative	repres	representative
Rhee	rhee	Rhee
Cheol	cheol	Cheol
-hee	-hee	-hee
said	said	said
in	in	in
radio	radio	radio
appearances	appear	appearance
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
citing	cite	citing
information	inform	information
from	from	from
unidentified	unidentifi	unidentified
South	south	South
Korean	korean	Korean
defense	defens	defense
officials	offici	official
.	.	.
In	in	In
May	may	May
,	,	,
an	an	an
investigative	investig	investigative
team	team	team
inside	insid	inside
the	the	the
defense	defens	defense
ministry	ministri	ministry
announced	announc	announced
the	the	the
hack	hack	hack
had	had	had
been	been	been
carried	carri	carried
out	out	out
by	by	by
North	north	North
Korea	korea	Korea
,	,	,
but	but	but
did	did	did
not	not	not
disclose	disclos	disclose
what	what	what
kind	kind	kind
of	of	of
information	inform	information
had	had	had
been	been	been
taken	taken	taken
.	.	.
The	the	The
United	unit	United
Nations	nation	Nations
Security	secur	Security
Council	council	Council
,	,	,
which	which	which
has	has	ha
imposed	impos	imposed
a	a	a
series	seri	series
of	of	of
ever	ever	ever
tighter	tighter	tighter
sanctions	sanction	sanction
on	on	on
North	north	North
Korea	korea	Korea
,	,	,
has	has	ha
banned	ban	banned
four	four	four
ships	ship	ship
from	from	from
ports	port	port
globally	global	globally
for	for	for
carrying	carri	carrying
coal	coal	coal
from	from	from
North	north	North
Korea	korea	Korea
,	,	,
including	includ	including
one	one	one
vessel	vessel	vessel
that	that	that
also	also	also
had	had	had
ammunition	ammunit	ammunition
.	.	.
The	the	The
vessels	vessel	vessel
are	are	are
the	the	the
first	first	first
to	to	to
be	be	be
designated	design	designated
under	under	under
stepped	step	stepped
-up	-up	-up
sanctions	sanction	sanction
imposed	impos	imposed
on	on	on
North	north	North
Korea	korea	Korea
by	by	by
the	the	the
15	15	15
-member	-member	-member
council	council	council
in	in	in
August	august	August
and	and	and
September	septemb	September
over	over	over
two	two	two
long	long	long
-range	-rang	-range
ballistic	ballist	ballistic
missile	missil	missile
launches	launch	launch
and	and	and
Pyongyang	pyongyang	Pyongyang
s	s	s
sixth	sixth	sixth
and	and	and
largest	largest	largest
nuclear	nuclear	nuclear
test	test	test
.	.	.
China	china	China
,	,	,
North	north	North
Korea	korea	Korea
s	s	s
main	main	main
ally	alli	ally
and	and	and
trading	trade	trading
partner	partner	partner
,	,	,
has	has	ha
consistently	consist	consistently
argued	argu	argued
sanctions	sanction	sanction
alone	alon	alone
will	will	will
not	not	not
work	work	work
,	,	,
urging	urg	urging
Washington	washington	Washington
and	and	and
Pyongyang	pyongyang	Pyongyang
to	to	to
lower	lower	lower
their	their	their
rhetoric	rhetor	rhetoric
and	and	and
return	return	return
to	to	to
the	the	the
negotiating	negoti	negotiating
table	tabl	table
.	.	.
China	china	China
s	s	s
influential	influenti	influential
Global	global	Global
Times	time	Times
tabloid	tabloid	tabloid
expressed	express	expressed
alarm	alarm	alarm
at	at	at
how	how	how
far	far	far
the	the	the
rhetoric	rhetor	rhetoric
on	on	on
both	both	both
sides	side	side
had	had	had
gone	gone	gone
and	and	and
how	how	how
it	it	it
had	had	had
increased	increas	increased
the	the	the
risk	risk	risk
of	of	of
a	a	a
fatal	fatal	fatal
misjudgment	misjudg	misjudgment
.	.	.
The	the	The
international	intern	international
community	communiti	community
won	won	won
t	t	t
accept	accept	accept
North	north	North
Korea	korea	Korea
as	as	a
a	a	a
nuclear	nuclear	nuclear
power	power	power
.	.	.
North	north	North
Korea	korea	Korea
needs	need	need
time	time	time
and	and	and
proof	proof	proof
to	to	to
believe	believ	believe
that	that	that
abandoning	abandon	abandoning
its	it	it
nuclear	nuclear	nuclear
program	program	program
will	will	will
contribute	contribut	contribute
to	to	to
its	it	it
own	own	own
political	polit	political
and	and	and
economic	econom	economic
advantage	advantag	advantage
.	.	.
This	this	This
positive	posit	positive
process	process	process
is	is	is
worth	worth	worth
a	a	a
try	tri	try
,	,	,
the	the	the
paper	paper	paper
said	said	said
in	in	in
an	an	an
editorial	editori	editorial
late	late	late
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
War	war	War
would	would	would
be	be	be
a	a	a
nightmare	nightmar	nightmare
for	for	for
the	the	the
Korean	korean	Korean
Peninsula	peninsula	Peninsula
and	and	and
surrounding	surround	surrounding
regions	region	region
.	.	.
We	we	We
strongly	strong	strongly
urge	urg	urge
North	north	North
Korea	korea	Korea
and	and	and
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
to	to	to
stop	stop	stop
their	their	their
bellicose	bellicos	bellicose
posturing	postur	posturing
and	and	and
seriously	serious	seriously
think	think	think
about	about	about
a	a	a
peaceful	peac	peaceful
solution	solut	solution
,	,	,
it	it	it
said	said	said
.	.	.
