SAN	san	SAN
can	can	can
no	no	no
longer	longer	longer
benefit	benefit	benefit
from	from	from
the	the	the
hard	hard	hard
work	work	work
,	,	,
creativity	creativ	creativity
,	,	,
and	and	and
intelligence	intellig	intelligence
of	of	of
its	it	it
employees	employe	employee
with	with	with
DACA	daca	DACA
status	status	status
,	,	,
said	said	said
Deirdre	deirdr	Deirdre
O	o	O
Brien	brien	Brien
,	,	,
Apple	appl	Apple
s	s	s
vice	vice	vice
president	presid	president
of	of	of
people	peopl	people
,	,	,
in	in	in
a	a	a
filing	file	filing
supporting	support	supporting
the	the	the
motion	motion	motion
.	.	.
Apple	appl	Apple
employs	employ	employ
more	more	more
than	than	than
250	250	250
DACA	daca	DACA
recipients	recipi	recipient
,	,	,
the	the	the
filing	file	filing
said	said	said
.	.	.
The	the	The
lawsuit	lawsuit	lawsuit
challenges	challeng	challenge
Trump	trump	Trump
s	s	s
September	septemb	September
decision	decis	decision
to	to	to
rescind	rescind	rescind
DACA	daca	DACA
,	,	,
which	which	which
was	was	wa
established	establish	established
by	by	by
former	former	former
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
in	in	in
2012	2012	2012
.	.	.
It	it	It
is	is	is
set	set	set
to	to	to
expire	expir	expire
in	in	in
March	march	March
.	.	.
DACA	daca	DACA
s	s	s
rescission	resciss	rescission
will	will	will
inflict	inflict	inflict
serious	serious	serious
harm	harm	harm
on	on	on
U	u	U
.	.	.
S	s	S
.	.	.
companies	compani	company
,	,	,
all	all	all
workers	worker	worker
,	,	,
and	and	and
the	the	the
American	american	American
economy	economi	economy
as	as	a
a	a	a
whole	whole	whole
,	,	,
the	the	the
filing	file	filing
reads	read	read
,	,	,
according	accord	according
to	to	to
a	a	a
draft	draft	draft
of	of	of
the	the	the
amicus	amicus	amicus
brief	brief	brief
provided	provid	provided
by	by	by
one	one	one
of	of	of
the	the	the
companies	compani	company
.	.	.
A	a	A
week	week	week
ago	ago	ago
,	,	,
dozens	dozen	dozen
of	of	of
tech	tech	tech
companies	compani	company
,	,	,
including	includ	including
Apple	appl	Apple
,	,	,
Google	googl	Google
,	,	,
Microsoft	microsoft	Microsoft
,	,	,
Facebook	facebook	Facebook
Inc	inc	Inc
,	,	,
Amazon	amazon	Amazon
.	.	.
com	com	com
Inc	inc	Inc
and	and	and
others	other	others
,	,	,
formed	form	formed
The	the	The
Coalition	coalit	Coalition
for	for	for
the	the	the
American	american	American
Dream	dream	Dream
,	,	,
a	a	a
group	group	group
calling	call	calling
for	for	for
bipartisan	bipartisan	bipartisan
legislation	legisl	legislation
this	this	this
year	year	year
that	that	that
would	would	would
give	give	give
illegal	illeg	illegal
immigrants	immigr	immigrant
a	a	a
path	path	path
to	to	to
permanent	perman	permanent
residency	resid	residency
.	.	.
Reuters	reuter	Reuters
was	was	wa
first	first	first
to	to	to
report	report	report
that	that	that
the	the	the
coalition	coalit	coalition
was	was	wa
being	be	being
formed	form	formed
.	.	.
About	about	About
900	900	900
,	,	,
000	000	000
immigrants	immigr	immigrant
have	have	have
been	been	been
shielded	shield	shielded
from	from	from
deportation	deport	deportation
since	sinc	since
the	the	the
DACA	daca	DACA
program	program	program
began	began	began
.	.	.
