RICHMOND	richmond	RICHMOND
the	the	the
North	north	North
Carolina	carolina	Carolina
case	case	case
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Supreme	suprem	Supreme
Court	court	Court
last	last	last
month	month	month
rejected	reject	rejected
a	a	a
request	request	request
by	by	by
the	the	the
state	state	state
that	that	that
the	the	the
restrictions	restrict	restriction
be	be	be
reinstated	reinstat	reinstated
for	for	for
the	the	the
Nov	nov	Nov
.	.	.

8	8	8
election	elect	election
.	.	.

