COX	cox	COX
decide	decid	decide
who	who	who
will	will	will
get	get	get
involved	involv	involved
in	in	in
the	the	the
verification	verif	verification
,	,	,
the	the	the
official	offici	official
said	said	said
,	,	,
adding	ad	adding
that	that	that
Bangladesh	bangladesh	Bangladesh
wanted	want	wanted
international	intern	international
agencies	agenc	agency
to	to	to
be	be	be
involved	involv	involved
.	.	.

Myanmar	myanmar	Myanmar
s	s	s
government	govern	government
spokesman	spokesman	spokesman
said	said	said
under	under	under
the	the	the
1993	1993	1993
pact	pact	pact
,	,	,
even	even	even
a	a	a
hospital	hospit	hospital
record	record	record
was	was	wa
enough	enough	enough
to	to	to
prove	prove	prove
residency	resid	residency
,	,	,
but	but	but
it	it	it
was	was	wa
only	onli	only
Myanmar	myanmar	Myanmar
,	,	,
not	not	not
Bangladesh	bangladesh	Bangladesh
,	,	,
that	that	that
could	could	could
verify	verifi	verify
citizenship	citizenship	citizenship
.	.	.

We	we	We
have	have	have
a	a	a
policy	polici	policy
for	for	for
the	the	the
repatriation	repatri	repatriation
process	process	process
and	and	and
we	we	we
will	will	will
go	go	go
along	along	along
with	with	with
that	that	that
,	,	,
the	the	the
spokesman	spokesman	spokesman
,	,	,
Zaw	zaw	Zaw
Htay	htay	Htay
,	,	,
told	told	told
Reuters	reuter	Reuters
.	.	.

But	but	But
even	even	even
if	if	if
refugees	refuge	refugee
have	have	have
documents	document	document
,	,	,
many	mani	many
are	are	are
wary	wari	wary
about	about	about
returning	return	returning
without	without	without
an	an	an
assurance	assur	assurance
of	of	of
full	full	full
citizenship	citizenship	citizenship
,	,	,
which	which	which
they	they	they
fear	fear	fear
could	could	could
leave	leav	leave
them	them	them
vulnerable	vulner	vulnerable
to	to	to
the	the	the
persecution	persecut	persecution
and	and	and
curbs	curb	curb
they	they	they
have	have	have
endured	endur	endured
for	for	for
years	year	year
.	.	.

Amina	amina	Amina
Katu	katu	Katu
,	,	,
60	60	60
,	,	,
laughed	laugh	laughed
at	at	at
the	the	the
thought	thought	thought
of	of	of
returning	return	returning
.	.	.

If	if	If
we	we	we
go	go	go
there	there	there
,	,	,
we	we	we
ll	ll	ll
just	just	just
have	have	have
to	to	to
come	come	come
back	back	back
here	here	here
,	,	,
she	she	she
said	said	said
.	.	.

If	if	If
they	they	they
give	give	give
us	us	u
our	our	our
rights	right	right
,	,	,
we	we	we
will	will	will
go	go	go
,	,	,
but	but	but
people	peopl	people
did	did	did
this	this	this
before	befor	before
and	and	and
they	they	they
had	had	had
to	to	to
return	return	return
.	.	.

Last	last	Last
month	month	month
,	,	,
Anwar	anwar	Anwar
Begum	begum	Begum
told	told	told
Reuters	reuter	Reuters
she	she	she
had	had	had
fled	fled	fled
from	from	from
Myanmar	myanmar	Myanmar
three	three	three
times	time	time
.	.	.

The	the	The
first	first	first
time	time	time
was	was	wa
to	to	to
escape	escap	escape
a	a	a
1978	1978	1978
crackdown	crackdown	crackdown
,	,	,
and	and	and
she	she	she
returned	return	returned
the	the	the
following	follow	following
year	year	year
.	.	.

She	she	She
fled	fled	fled
again	again	again
in	in	in
1991	1991	1991
and	and	and
returned	return	returned
in	in	in
1994	1994	1994
.	.	.

I	i	I
don	don	don
t	t	t
want	want	want
to	to	to
go	go	go
back	back	back
,	,	,
the	the	the
55	55	55
-year-old	-year-old	-year-old
added	ad	added
.	.	.

I	i	I
don	don	don
t	t	t
believe	believ	believe
the	the	the
government	govern	government
.	.	.

Every	everi	Every
time	time	time
the	the	the
government	govern	government
agrees	agre	agrees
we	we	we
can	can	can
go	go	go
back	back	back
,	,	,
then	then	then
we	we	we
re	re	re
there	there	there
and	and	and
they	they	they
break	break	break
their	their	their
promise	promis	promise
.	.	.

Investigators	investig	Investigators
appointed	appoint	appointed
by	by	by
government	govern	government
leader	leader	leader
Aung	aung	Aung
San	san	San
Suu	suu	Suu
Kyi	kyi	Kyi
and	and	and
led	led	led
by	by	by
former	former	former
U	u	U
.	.	.
N	n	N
.	.	.
secretary	secretari	secretary
-general	-gener	-general
Kofi	kofi	Kofi
Annan	annan	Annan
recommended	recommend	recommended
in	in	in
August	august	August
that	that	that
Myanmar	myanmar	Myanmar
review	review	review
a	a	a
1982	1982	1982
law	law	law
that	that	that
links	link	link
citizenship	citizenship	citizenship
and	and	and
ethnicity	ethnic	ethnicity
and	and	and
leaves	leav	leaf
most	most	most
Rohingya	rohingya	Rohingya
stateless	stateless	stateless
.	.	.

U	u	U
.	.	.
N	n	N
.	.	.
High	high	High
Commissioner	commission	Commissioner
for	for	for
Refugees	refuge	Refugees
Filippo	filippo	Filippo
Grandi	grandi	Grandi
told	told	told
a	a	a
meeting	meet	meeting
in	in	in
Geneva	geneva	Geneva
on	on	on
Monday	monday	Monday
that	that	that
the	the	the
link	link	link
between	between	between
statelessness	stateless	statelessness
and	and	and
displacement	displac	displacement
was	was	wa
nowhere	nowher	nowhere
more	more	more
evident	evid	evident
than	than	than
with	with	with
the	the	the
Rohingya	rohingya	Rohingya
.	.	.

Denial	denial	Denial
of	of	of
citizenship	citizenship	citizenship
is	is	is
a	a	a
key	key	key
aspect	aspect	aspect
of	of	of
the	the	the
discrimination	discrimin	discrimination
and	and	and
exclusion	exclus	exclusion
that	that	that
have	have	have
shaped	shape	shaped
their	their	their
plight	plight	plight
,	,	,
he	he	he
said	said	said
.	.	.

Grandi	grandi	Grandi
called	call	called
for	for	for
a	a	a
two	two	two
-track	-track	-track
approach	approach	approach
to	to	to
tackle	tackl	tackle
issues	issu	issue
of	of	of
citizenship	citizenship	citizenship
and	and	and
rights	right	right
and	and	and
inclusive	inclus	inclusive
development	develop	development
to	to	to
stamp	stamp	stamp
out	out	out
poverty	poverti	poverty
in	in	in
Rakhine	rakhin	Rakhine
State	state	State
.	.	.

Separately	separ	Separately
,	,	,
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
refugee	refuge	refugee
agency	agenc	agency
and	and	and
Bangladesh	bangladesh	Bangladesh
authorities	author	authority
are	are	are
working	work	working
to	to	to
contain	contain	contain
an	an	an
outbreak	outbreak	outbreak
of	of	of
diarrhoeal	diarrhoeal	diarrhoeal
diseases	diseas	disease
in	in	in
the	the	the
camps	camp	camp
,	,	,
UNHCR	unhcr	UNHCR
spokesman	spokesman	spokesman
Andrej	andrej	Andrej
Mahecic	mahec	Mahecic
told	told	told
a	a	a
briefing	brief	briefing
in	in	in
Geneva	geneva	Geneva
.	.	.

Refugees	refuge	Refugees
are	are	are
still	still	still
crossing	cross	crossing
into	into	into
Bangladesh	bangladesh	Bangladesh
,	,	,
though	though	though
at	at	at
a	a	a
slower	slower	slower
rate	rate	rate
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
the	the	the
International	intern	International
Organisation	organis	Organisation
for	for	for
Migration	migrat	Migration
said	said	said
.	.	.

A	a	A
Reuters	reuter	Reuters
photographer	photograph	photographer
saw	saw	saw
smoke	smoke	smoke
plumes	plume	plume
on	on	on
the	the	the
Myanmar	myanmar	Myanmar
side	side	side
of	of	of
the	the	the
border	border	border
but	but	but
it	it	it
was	was	wa
not	not	not
clear	clear	clear
what	what	what
was	was	wa
alight	alight	alight
.	.	.

Rights	right	Rights
groups	group	group
say	say	say
more	more	more
than	than	than
half	half	half
of	of	of
more	more	more
than	than	than
400	400	400
Rohingya	rohingya	Rohingya
villages	villag	village
in	in	in
the	the	the
north	north	north
of	of	of
Rakhine	rakhin	Rakhine
State	state	State
have	have	have
been	been	been
torched	torch	torched
.	.	.

Myanmar	myanmar	Myanmar
officials	offici	official
have	have	have
said	said	said
they	they	they
have	have	have
attempted	attempt	attempted
to	to	to
reassure	reassur	reassure
groups	group	group
of	of	of
fleeing	flee	fleeing
Rohingya	rohingya	Rohingya
but	but	but
they	they	they
could	could	could
not	not	not
stop	stop	stop
people	peopl	people
who	who	who
were	were	were
not	not	not
citizens	citizen	citizen
from	from	from
leaving	leav	leaving
.	.	.

