CRAIOVA	craiova	CRAIOVA
system	system	system
would	would	would
also	also	also
be	be	be
highly	high	highly
complicated	complic	complicated
for	for	for
political	polit	political
reasons	reason	reason
.	.	.
While	while	While
Stoltenberg	stoltenberg	Stoltenberg
,	,	,
a	a	a
former	former	former
Norwegian	norwegian	Norwegian
prime	prime	prime
minister	minist	minister
,	,	,
took	took	took
up	up	up
the	the	the
NATO	nato	NATO
post	post	post
three	three	three
years	year	year
ago	ago	ago
with	with	with
a	a	a
more	more	more
conciliatory	conciliatori	conciliatory
tone	tone	tone
toward	toward	toward
Moscow	moscow	Moscow
than	than	than
his	his	his
Danish	danish	Danish
predecessor	predecessor	predecessor
Anders	ander	Anders
Fogh	fogh	Fogh
Rasmussen	rasmussen	Rasmussen
,	,	,
Russia	russia	Russia
s	s	s
Crimea	crimea	Crimea
annexation	annex	annexation
in	in	in
March	march	March
2014	2014	2014
had	had	had
already	alreadi	already
badly	bad	badly
damaged	damag	damaged
East	east	East
-West	-west	-West
ties	tie	tie
.	.	.
In	in	In
the	the	the
latest	latest	latest
dispute	disput	dispute
,	,	,
Stoltenberg	stoltenberg	Stoltenberg
said	said	said
Moscow	moscow	Moscow
had	had	had
given	given	given
misleading	mislead	misleading
information	inform	information
about	about	about
the	the	the
size	size	size
of	of	of
its	it	it
war	war	war
games	game	game
,	,	,
known	known	known
as	as	a
Zapad	zapad	Zapad
,	,	,
or	or	or
West	west	West
,	,	,
last	last	last
month	month	month
.	.	.
Our	our	Our
assessment	assess	assessment
so	so	so
far	far	far
shows	show	show
that	that	that
the	the	the
scale	scale	scale
and	and	and
geographic	geograph	geographic
scope	scope	scope
of	of	of
the	the	the
Zapad	zapad	Zapad
exercise	exercis	exercise
significantly	signific	significantly
exceeded	exceed	exceeded
what	what	what
was	was	wa
announced	announc	announced
,	,	,
he	he	he
said	said	said
,	,	,
although	although	although
he	he	he
said	said	said
so	so	so
far	far	far
there	there	there
were	were	were
no	no	no
signs	sign	sign
Russia	russia	Russia
had	had	had
left	left	left
behind	behind	behind
troops	troop	troop
or	or	or
weapons	weapon	weapon
in	in	in
Belarus	belarus	Belarus
during	dure	during
the	the	the
exercises	exercis	exercise
,	,	,
as	as	a
some	some	some
Baltic	baltic	Baltic
nations	nation	nation
had	had	had
feared	fear	feared
.	.	.
Russia	russia	Russia
said	said	said
Zapad	zapad	Zapad
involved	involv	involved
some	some	some
13	13	13
,	,	,
000	000	000
troops	troop	troop
and	and	and
has	has	ha
accused	accus	accused
NATO	nato	NATO
allies	alli	ally
of	of	of
exaggerating	exagger	exaggerating
the	the	the
size	size	size
of	of	of
the	the	the
drills	drill	drill
.	.	.
