SAN	san	SAN
government	govern	government
agency	agenc	agency
acronym	acronym	acronym
has	has	ha
led	led	led
many	mani	many
to	to	to
assume	assum	assume
government	govern	government
employees	employe	employee
were	were	were
behind	behind	behind
the	the	the
tweets	tweet	tweet
critical	critic	critical
of	of	of
Trump	trump	Trump
.	.	.
The	the	The
lawsuit	lawsuit	lawsuit
said	said	said
the	the	the
account	account	account
claims	claim	claim
to	to	to
be	be	be
the	the	the
work	work	work
of	of	of
at	at	at
least	least	least
one	one	one
federal	feder	federal
immigration	immigr	immigration
employee	employe	employee
.	.	.
USCIS	usci	USCIS
is	is	is
the	the	the
acronym	acronym	acronym
of	of	of
United	unit	United
States	state	States
Citizenship	citizenship	Citizenship
and	and	and
Immigration	immigr	Immigration
Services	servic	Services
,	,	,
a	a	a
component	compon	component
of	of	of
Homeland	homeland	Homeland
Security	secur	Security
.	.	.
Roth	roth	Roth
s	s	s
office	offic	office
is	is	is
charged	charg	charged
with	with	with
investigating	investig	investigating
waste	wast	waste
,	,	,
fraud	fraud	fraud
and	and	and
abuse	abus	abuse
within	within	within
Homeland	homeland	Homeland
Security	secur	Security
.	.	.
He	he	He
wrote	wrote	wrote
in	in	in
his	his	his
letter	letter	letter
that	that	that
he	he	he
was	was	wa
looking	look	looking
at	at	at
whether	whether	whether
the	the	the
summons	summon	summons
to	to	to
Twitter	twitter	Twitter
was	was	wa
improper	improp	improper
in	in	in
any	ani	any
way	way	way
,	,	,
including	includ	including
whether	whether	whether
CBP	cbp	CBP
abused	abus	abused
its	it	it
authority	author	authority
.	.	.
DHS	dhs	DHS
OIG	oig	OIG
is	is	is
also	also	also
reviewing	review	reviewing
potential	potenti	potential
broader	broader	broader
misuse	misus	misuse
of	of	of
summons	summon	summons
authority	author	authority
at	at	at
the	the	the
department	depart	department
,	,	,
he	he	he
added	ad	added
.	.	.
Wyden	wyden	Wyden
s	s	s
office	offic	office
posted	post	posted
the	the	the
letter	letter	letter
online	onlin	online
.	.	.
A	a	A
representative	repres	representative
for	for	for
Roth	roth	Roth
could	could	could
not	not	not
immediately	immedi	immediately
be	be	be
reached	reach	reached
for	for	for
comment	comment	comment
.	.	.
A	a	A
Twitter	twitter	Twitter
spokeswoman	spokeswoman	spokeswoman
declined	declin	declined
to	to	to
comment	comment	comment
.	.	.
