RICHMOND	richmond	RICHMOND
Republican	republican	Republican
presidential	presidenti	presidential
candidates	candid	candidate
have	have	have
a	a	a
history	histori	history
of	of	of
dominance	domin	dominance
in	in	in
the	the	the
state	state	state
.	.	.

Before	befor	Before
Obama	obama	Obama
s	s	s
victories	victori	victory
,	,	,
Republicans	republican	Republicans
carried	carri	carried
Virginia	virginia	Virginia
in	in	in
every	everi	every
presidential	presidenti	presidential
election	elect	election
since	sinc	since
1952	1952	1952
except	except	except
one	one	one
.	.	.

In	in	In
1964	1964	1964
,	,	,
Democrat	democrat	Democrat
Lyndon	lyndon	Lyndon
Johnson	johnson	Johnson
won	won	won
in	in	in
Virginia	virginia	Virginia
as	as	a
he	he	he
defeated	defeat	defeated
Barry	barri	Barry
Goldwater	goldwat	Goldwater
in	in	in
a	a	a
national	nation	national
landslide	landslid	landslide
.	.	.

The	the	The
governor	governor	governor
,	,	,
who	who	who
said	said	said
on	on	on
Friday	friday	Friday
Virginia	virginia	Virginia
has	has	ha
had	had	had
some	some	some
of	of	of
the	the	the
most	most	most
restrictive	restrict	restrictive
laws	law	law
in	in	in
the	the	the
country	countri	country
for	for	for
restoration	restor	restoration
of	of	of
voting	vote	voting
and	and	and
civil	civil	civil
rights	right	right
,	,	,
has	has	ha
made	made	made
the	the	the
issue	issu	issue
a	a	a
high	high	high
priority	prioriti	priority
during	dure	during
his	his	his
administration	administr	administration
.	.	.

Previous	previous	Previous
efforts	effort	effort
have	have	have
resulted	result	resulted
in	in	in
the	the	the
restoration	restor	restoration
of	of	of
voting	vote	voting
rights	right	right
to	to	to
18	18	18
,	,	,
000	000	000
Virginians	virginian	Virginians
,	,	,
he	he	he
said	said	said
.	.	.

The	the	The
order	order	order
will	will	will
restore	restor	restore
the	the	the
rights	right	right
of	of	of
every	everi	every
Virginia	virginia	Virginia
felon	felon	felon
who	who	who
completed	complet	completed
his	his	his
or	or	or
her	her	her
sentence	sentenc	sentence
and	and	and
all	all	all
other	other	other
requirements	requir	requirement
as	as	a
of	of	of
April	april	April
22	22	22
,	,	,
affecting	affect	affecting
206	206	206
,	,	,
000	000	000
people	peopl	people
immediately	immedi	immediately
,	,	,
the	the	the
governor	governor	governor
said	said	said
in	in	in
a	a	a
press	press	press
release	releas	release
.	.	.

Before	befor	Before
the	the	the
order	order	order
,	,	,
Virginia	virginia	Virginia
felons	felon	felon
would	would	would
have	have	have
to	to	to
petition	petit	petition
the	the	the
governor	governor	governor
,	,	,
who	who	who
had	had	had
broad	broad	broad
discretion	discret	discretion
in	in	in
ruling	rule	ruling
on	on	on
any	ani	any
request	request	request
.	.	.

