ISTANBUL	istanbul	ISTANBUL
and	and	and
his	his	his
government	govern	government
.	.	.
The	the	The
Zarrab	zarrab	Zarrab
case	case	case
is	is	is
one	one	one
of	of	of
several	sever	several
festering	fester	festering
disputes	disput	dispute
between	between	between
Ankara	ankara	Ankara
and	and	and
Washington	washington	Washington
,	,	,
which	which	which
disagree	disagre	disagree
over	over	over
U	u	U
.	.	.
S	s	S
.	.	.
support	support	support
for	for	for
Kurdish	kurdish	Kurdish
fighters	fighter	fighter
in	in	in
Syria	syria	Syria
and	and	and
suspended	suspend	suspended
visa	visa	visa
services	servic	service
after	after	after
the	the	the
arrest	arrest	arrest
of	of	of
a	a	a
locally	local	locally
employed	employ	employed
U	u	U
.	.	.
S	s	S
.	.	.
consulate	consul	consulate
worker	worker	worker
in	in	in
Istanbul	istanbul	Istanbul
last	last	last
month	month	month
.	.	.
In	in	In
a	a	a
speech	speech	speech
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
Yildirim	yildirim	Yildirim
highlighted	highlight	highlighted
the	the	the
economic	econom	economic
fallout	fallout	fallout
from	from	from
the	the	the
court	court	court
hearings	hear	hearing
,	,	,
saying	say	saying
they	they	they
had	had	had
come	come	come
to	to	to
the	the	the
point	point	point
of	of	of
harming	harm	harming
Turkey	turkey	Turkey
and	and	and
our	our	our
global	global	global
economic	econom	economic
ties	tie	tie
.	.	.
Turkey	turkey	Turkey
s	s	s
bank	bank	bank
regulator	regul	regulator
denied	deni	denied
a	a	a
report	report	report
in	in	in
Haberturk	haberturk	Haberturk
newspaper	newspap	newspaper
last	last	last
month	month	month
that	that	that
six	six	six
unnamed	unnam	unnamed
Turkish	turkish	Turkish
banks	bank	bank
could	could	could
face	face	face
fines	fine	fine
worth	worth	worth
billions	billion	billion
of	of	of
dollars	dollar	dollar
over	over	over
Iran	iran	Iran
sanctions	sanction	sanction
violations	violat	violation
.	.	.
Investors	investor	Investors
are	are	are
nervous	nervous	nervous
.	.	.
Turkish	turkish	Turkish
bank	bank	bank
shares	share	share
have	have	have
fallen	fallen	fallen
more	more	more
than	than	than
13	13	13
percent	percent	percent
in	in	in
November	novemb	November
,	,	,
nearly	near	nearly
twice	twice	twice
the	the	the
decline	declin	decline
of	of	of
the	the	the
broader	broader	broader
Istanbul	istanbul	Istanbul
market	market	market
.	.	.
Jury	juri	Jury
selection	select	selection
is	is	is
due	due	due
to	to	to
start	start	start
on	on	on
Monday	monday	Monday
,	,	,
meaning	mean	meaning
the	the	the
trial	trial	trial
may	may	may
begin	begin	begin
as	as	a
early	earli	early
as	as	a
Tuesday	tuesday	Tuesday
.	.	.
