OSLO	oslo	OSLO
leaders	leader	leader
need	need	need
to	to	to
know	know	know
that	that	that
the	the	the
weapons	weapon	weapon
are	are	are
illegal	illeg	illegal
.	.	.

Nuclear	nuclear	Nuclear
weapons	weapon	weapon
are	are	are
illegal	illeg	illegal
.	.	.

Threatening	threaten	Threatening
to	to	to
use	use	use
nuclear	nuclear	nuclear
weapons	weapon	weapon
is	is	is
illegal	illeg	illegal
.	.	.

Having	have	Having
nuclear	nuclear	nuclear
weapons	weapon	weapon
,	,	,
possessing	possess	possessing
nuclear	nuclear	nuclear
weapons	weapon	weapon
,	,	,
developing	develop	developing
nuclear	nuclear	nuclear
weapons	weapon	weapon
,	,	,
is	is	is
illegal	illeg	illegal
,	,	,
and	and	and
they	they	they
need	need	need
to	to	to
stop	stop	stop
,	,	,
she	she	she
told	told	told
Reuters	reuter	Reuters
.	.	.

Two	two	Two
days	day	day
before	befor	before
her	her	her
group	group	group
won	won	won
the	the	the
prize	prize	prize
,	,	,
Fihn	fihn	Fihn
had	had	had
tweeted	tweet	tweeted
that	that	that
Trump	trump	Trump
was	was	wa
a	a	a
moron	moron	moron
.	.	.

She	she	She
told	told	told
Reuters	reuter	Reuters
she	she	she
had	had	had
written	written	written
this	this	this
in	in	in
jest	jest	jest
,	,	,
in	in	in
the	the	the
context	context	context
of	of	of
news	news	news
reports	report	report
that	that	that
U	u	U
.	.	.
S	s	S
.	.	.
Secretary	secretari	Secretary
of	of	of
State	state	State
Rex	rex	Rex
Tillerson	tillerson	Tillerson
had	had	had
used	use	used
the	the	the
same	same	same
word	word	word
to	to	to
describe	describ	describe
his	his	his
boss	boss	bos
.	.	.

But	but	But
she	she	she
said	said	said
Trump	trump	Trump
s	s	s
impulsive	impuls	impulsive
character	charact	character
illustrated	illustr	illustrated
the	the	the
importance	import	importance
of	of	of
banning	ban	banning
nuclear	nuclear	nuclear
arms	arm	arm
for	for	for
all	all	all
countries	countri	country
.	.	.

A	a	A
man	man	man
you	you	you
can	can	can
bait	bait	bait
with	with	with
a	a	a
tweet	tweet	tweet
seems	seem	seems
to	to	to
be	be	be
taking	take	taking
irrational	irrat	irrational
decisions	decis	decision
very	veri	very
quickly	quick	quickly
and	and	and
not	not	not
listening	listen	listening
to	to	to
expertise	expertis	expertise
,	,	,
it	it	it
just	just	just
puts	put	put
a	a	a
spotlight	spotlight	spotlight
on	on	on
what	what	what
do	do	do
nuclear	nuclear	nuclear
weapons	weapon	weapon
really	realli	really
mean	mean	mean
.	.	.

There	there	There
are	are	are
no	no	no
right	right	right
hands	hand	hand
for	for	for
the	the	the
wrong	wrong	wrong
weapons	weapon	weapon
,	,	,
she	she	she
said	said	said
.	.	.

ICAN	ican	ICAN
describes	describ	describes
itself	itself	itself
as	as	a
a	a	a
coalition	coalit	coalition
of	of	of
grassroots	grassroot	grassroots
non	non	non
-government	-govern	-government
groups	group	group
in	in	in
more	more	more
than	than	than
100	100	100
nations	nation	nation
.	.	.

It	it	It
began	began	began
in	in	in
Australia	australia	Australia
and	and	and
was	was	wa
officially	offici	officially
launched	launch	launched
in	in	in
Vienna	vienna	Vienna
in	in	in
2007	2007	2007
.	.	.

In	in	In
her	her	her
speech	speech	speech
announcing	announc	announcing
the	the	the
prize	prize	prize
,	,	,
Berit	berit	Berit
Reiss	reiss	Reiss
-Andersen	-andersen	-Andersen
,	,	,
the	the	the
leader	leader	leader
of	of	of
the	the	the
Norwegian	norwegian	Norwegian
Nobel	nobel	Nobel
Committee	committe	Committee
,	,	,
said	said	said
the	the	the
risk	risk	risk
that	that	that
nuclear	nuclear	nuclear
weapons	weapon	weapon
might	might	might
be	be	be
used	use	used
was	was	wa
now	now	now
greater	greater	greater
than	than	than
it	it	it
has	has	ha
been	been	been
for	for	for
a	a	a
long	long	long
time	time	time
.	.	.

Some	some	Some
states	state	state
are	are	are
modernizing	modern	modernizing
their	their	their
nuclear	nuclear	nuclear
arsenals	arsenal	arsenal
,	,	,
and	and	and
there	there	there
is	is	is
a	a	a
real	real	real
danger	danger	danger
that	that	that
more	more	more
countries	countri	country
will	will	will
try	tri	try
to	to	to
procure	procur	procure
nuclear	nuclear	nuclear
weapons	weapon	weapon
,	,	,
as	as	a
exemplified	exemplifi	exemplified
by	by	by
North	north	North
Korea	korea	Korea
.	.	.

The	the	The
award	award	award
was	was	wa
hailed	hail	hailed
by	by	by
anti	anti	anti
-nuclear	-nuclear	-nuclear
campaigners	campaign	campaigner
around	around	around
the	the	the
world	world	world
.	.	.

Now	now	Now
more	more	more
than	than	than
ever	ever	ever
we	we	we
need	need	need
a	a	a
world	world	world
without	without	without
nuclear	nuclear	nuclear
weapons	weapon	weapon
,	,	,
United	unit	United
Nations	nation	Nations
Secretary	secretari	Secretary
-General	-gener	-General
Antonio	antonio	Antonio
Guterres	guterr	Guterres
tweeted	tweet	tweeted
.	.	.

Mikiso	mikiso	Mikiso
Iwasa	iwasa	Iwasa
,	,	,
an	an	an
88	88	88
-year-old	-year-old	-year-old
Hiroshima	hiroshima	Hiroshima
survivor	survivor	survivor
,	,	,
told	told	told
Reuters	reuter	Reuters
the	the	the
prize	prize	prize
would	would	would
help	help	help
push	push	push
the	the	the
movement	movement	movement
forward	forward	forward
.	.	.

It	it	It
is	is	is
wonderful	wonder	wonderful
we	we	we
have	have	have
this	this	this
Nobel	nobel	Nobel
Peace	peac	Peace
-Prize	-prize	-Prize
winning	win	winning
movement	movement	movement
.	.	.

All	all	All
of	of	of
us	us	u
need	need	need
to	to	to
join	join	join
forces	forc	force
,	,	,
think	think	think
hard	hard	hard
and	and	and
walk	walk	walk
forward	forward	forward
together	togeth	together
to	to	to
turn	turn	turn
this	this	this
momentum	momentum	momentum
into	into	into
something	someth	something
even	even	even
bigger	bigger	bigger
,	,	,
he	he	he
said	said	said
.	.	.

The	the	The
prize	prize	prize
seeks	seek	seek
to	to	to
bolster	bolster	bolster
the	the	the
case	case	case
for	for	for
disarmament	disarma	disarmament
amid	amid	amid
nuclear	nuclear	nuclear
tensions	tension	tension
between	between	between
Washington	washington	Washington
and	and	and
Pyongyang	pyongyang	Pyongyang
,	,	,
as	as	a
well	well	well
as	as	a
uncertainty	uncertainti	uncertainty
over	over	over
the	the	the
fate	fate	fate
of	of	of
the	the	the
2015	2015	2015
deal	deal	deal
between	between	between
Iran	iran	Iran
and	and	and
major	major	major
powers	power	power
to	to	to
limit	limit	limit
Tehran	tehran	Tehran
s	s	s
nuclear	nuclear	nuclear
program	program	program
.	.	.

The	the	The
prize	prize	prize
-giving	-give	-giving
committee	committe	committee
made	made	made
no	no	no
mention	mention	mention
of	of	of
Iran	iran	Iran
in	in	in
its	it	it
award	award	award
citation	citat	citation
.	.	.

It	it	It
raised	rais	raised
eyebrows	eyebrow	eyebrow
with	with	with
its	it	it
decision	decis	decision
to	to	to
award	award	award
the	the	the
prize	prize	prize
to	to	to
an	an	an
international	intern	international
campaign	campaign	campaign
group	group	group
with	with	with
a	a	a
relatively	relat	relatively
low	low	low
profile	profil	profile
,	,	,
rather	rather	rather
than	than	than
recognize	recogn	recognize
the	the	the
Iran	iran	Iran
deal	deal	deal
,	,	,
a	a	a
complex	complex	complex
agreement	agreement	agreement
hammered	hammer	hammered
out	out	out
over	over	over
years	year	year
of	of	of
high	high	high
-stakes	-stake	-stakes
diplomacy	diplomaci	diplomacy
.	.	.

Norwegian	norwegian	Norwegian
Nobel	nobel	Nobel
Committee	committe	Committee
has	has	ha
its	it	it
own	own	own
ways	way	way
,	,	,
but	but	but
the	the	the
nuclear	nuclear	nuclear
agreement	agreement	agreement
with	with	with
Iran	iran	Iran
achieved	achiev	achieved
something	someth	something
real	real	real
and	and	and
would	would	would
have	have	have
deserved	deserv	deserved
a	a	a
prize	prize	prize
,	,	,
tweeted	tweet	tweeted
Carl	carl	Carl
Bildt	bildt	Bildt
,	,	,
a	a	a
former	former	former
Swedish	swedish	Swedish
prime	prime	prime
minister	minist	minister
who	who	who
has	has	ha
held	held	held
top	top	top
posts	post	post
as	as	a
an	an	an
international	intern	international
diplomat	diplomat	diplomat
.	.	.

The	the	The
Iran	iran	Iran
accord	accord	accord
,	,	,
which	which	which
Trump	trump	Trump
has	has	ha
repeatedly	repeat	repeatedly
called	call	called
the	the	the
worst	worst	worst
deal	deal	deal
ever	ever	ever
negotiated	negoti	negotiated
,	,	,
is	is	is
seen	seen	seen
as	as	a
under	under	under
particular	particular	particular
threat	threat	threat
this	this	this
week	week	week
.	.	.

A	a	A
senior	senior	senior
administration	administr	administration
official	offici	official
said	said	said
on	on	on
Thursday	thursday	Thursday
Trump	trump	Trump
is	is	is
expected	expect	expected
to	to	to
decertify	decertifi	decertify
the	the	the
pact	pact	pact
,	,	,
a	a	a
step	step	step
which	which	which
could	could	could
allow	allow	allow
Congress	congress	Congress
to	to	to
restore	restor	restore
sanctions	sanction	sanction
on	on	on
Iran	iran	Iran
.	.	.

The	the	The
committee	committe	committee
may	may	may
have	have	have
been	been	been
reluctant	reluct	reluctant
to	to	to
reward	reward	reward
the	the	the
Iranian	iranian	Iranian
government	govern	government
for	for	for
its	it	it
role	role	role
in	in	in
the	the	the
nuclear	nuclear	nuclear
deal	deal	deal
because	becaus	because
the	the	the
only	onli	only
Iranian	iranian	Iranian
winner	winner	winner
so	so	so
far	far	far
,	,	,
2003	2003	2003
laureate	laureat	laureate
Shirin	shirin	Shirin
Ebadi	ebadi	Ebadi
,	,	,
a	a	a
lawyer	lawyer	lawyer
and	and	and
human	human	human
rights	right	right
campaigner	campaign	campaigner
,	,	,
is	is	is
forced	forc	forced
to	to	to
live	live	live
in	in	in
exile	exil	exile
.	.	.

I	i	I
think	think	think
the	the	the
committee	committe	committee
has	has	ha
thought	thought	thought
about	about	about
the	the	the
human	human	human
rights	right	right
situation	situat	situation
in	in	in
Iran	iran	Iran
.	.	.

It	it	It
would	would	would
have	have	have
been	been	been
difficult	difficult	difficult
to	to	to
explain	explain	explain
the	the	the
prize	prize	prize
even	even	even
though	though	though
it	it	it
has	has	ha
a	a	a
favorable	favor	favorable
view	view	view
of	of	of
the	the	the
Iran	iran	Iran
deal	deal	deal
,	,	,
Asle	asl	Asle
Sveen	sveen	Sveen
,	,	,
a	a	a
historian	historian	historian
of	of	of
the	the	the
Nobel	nobel	Nobel
Peace	peac	Peace
Prize	prize	Prize
,	,	,
told	told	told
Reuters	reuter	Reuters
.	.	.

The	the	The
Norwegian	norwegian	Norwegian
Nobel	nobel	Nobel
Committee	committe	Committee
denied	deni	denied
that	that	that
giving	give	giving
the	the	the
prize	prize	prize
to	to	to
an	an	an
anti	anti	anti
-nuclear	-nuclear	-nuclear
group	group	group
was	was	wa
intended	intend	intended
either	either	either
as	as	a
a	a	a
rebuke	rebuk	rebuke
to	to	to
Trump	trump	Trump
,	,	,
or	or	or
as	as	a
a	a	a
snub	snub	snub
to	to	to
the	the	the
architects	architect	architect
of	of	of
the	the	the
Iran	iran	Iran
nuclear	nuclear	nuclear
deal	deal	deal
.	.	.

The	the	The
Iran	iran	Iran
treaty	treati	treaty
is	is	is
a	a	a
positive	posit	positive
development	develop	development
,	,	,
a	a	a
disarmament	disarma	disarmament
development	develop	development
that	that	that
is	is	is
positive	posit	positive
,	,	,
but	but	but
the	the	the
reason	reason	reason
we	we	we
mentioned	mention	mentioned
North	north	North
Korea	korea	Korea
in	in	in
our	our	our
statement	statement	statement
is	is	is
a	a	a
reference	refer	reference
to	to	to
the	the	the
threat	threat	threat
that	that	that
people	peopl	people
actually	actual	actually
feel	feel	feel
,	,	,
Reiss	reiss	Reiss
-Andersen	-andersen	-Andersen
told	told	told
Reuters	reuter	Reuters
.	.	.

Iran	iran	Iran
has	has	ha
not	not	not
voiced	voic	voiced
recent	recent	recent
threats	threat	threat
to	to	to
use	use	use
nuclear	nuclear	nuclear
weapons	weapon	weapon
.	.	.

ICAN	ican	ICAN
has	has	ha
campaigned	campaign	campaigned
for	for	for
a	a	a
U	u	U
.	.	.
N	n	N
.	.	.
Treaty	treati	Treaty
on	on	on
the	the	the
Prohibition	prohibit	Prohibition
of	of	of
Nuclear	nuclear	Nuclear
Weapons	weapon	Weapons
,	,	,
which	which	which
was	was	wa
adopted	adopt	adopted
by	by	by
122	122	122
nations	nation	nation
in	in	in
July	juli	July
this	this	this
year	year	year
.	.	.

That	that	That
agreement	agreement	agreement
is	is	is
not	not	not
signed	sign	signed
by	by	by
and	and	and
would	would	would
not	not	not
apply	appli	apply
to	to	to
any	ani	any
of	of	of
the	the	the
states	state	state
that	that	that
already	alreadi	already
have	have	have
nuclear	nuclear	nuclear
arms	arm	arm
,	,	,
which	which	which
include	includ	include
the	the	the
five	five	five
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
permanent	perman	permanent
members	member	member
,	,	,
the	the	the
United	unit	United
States	state	States
,	,	,
Russia	russia	Russia
,	,	,
China	china	China
,	,	,
Britain	britain	Britain
and	and	and
France	franc	France
,	,	,
as	as	a
well	well	well
as	as	a
India	india	India
,	,	,
Pakistan	pakistan	Pakistan
and	and	and
North	north	North
Korea	korea	Korea
.	.	.

Israel	israel	Israel
is	is	is
also	also	also
widely	wide	widely
assumed	assum	assumed
to	to	to
have	have	have
nuclear	nuclear	nuclear
weapons	weapon	weapon
,	,	,
although	although	although
it	it	it
neither	neither	neither
confirms	confirm	confirms
nor	nor	nor
denies	deni	denies
it	it	it
.	.	.

Major	major	Major
allies	alli	ally
of	of	of
the	the	the
declared	declar	declared
nuclear	nuclear	nuclear
powers	power	power
also	also	also
oppose	oppos	oppose
the	the	the
new	new	new
treaty	treati	treaty
.	.	.

Nevertheless	nevertheless	Nevertheless
,	,	,
campaigners	campaign	campaigner
see	see	see
it	it	it
as	as	a
a	a	a
framework	framework	framework
that	that	that
would	would	would
make	make	make
it	it	it
easier	easier	easier
for	for	for
countries	countri	country
that	that	that
have	have	have
nuclear	nuclear	nuclear
arms	arm	arm
to	to	to
work	work	work
toward	toward	toward
eliminating	elimin	eliminating
them	them	them
.	.	.

NATO	nato	NATO
member	member	member
Norway	norway	Norway
congratulated	congratul	congratulated
ICAN	ican	ICAN
but	but	but
said	said	said
it	it	it
would	would	would
not	not	not
sign	sign	sign
the	the	the
treaty	treati	treaty
to	to	to
ban	ban	ban
nuclear	nuclear	nuclear
weapons	weapon	weapon
.	.	.

The	the	The
Nobel	nobel	Nobel
Peace	peac	Peace
Prize	prize	Prize
is	is	is
awarded	award	awarded
by	by	by
a	a	a
committee	committe	committee
appointed	appoint	appointed
by	by	by
the	the	the
Norwegian	norwegian	Norwegian
parliament	parliament	parliament
.	.	.

Norway	norway	Norway
will	will	will
not	not	not
support	support	support
proposals	propos	proposal
in	in	in
the	the	the
UN	un	UN
that	that	that
would	would	would
weaken	weaken	weaken
NATO	nato	NATO
s	s	s
role	role	role
as	as	a
a	a	a
defence	defenc	defence
alliance	allianc	alliance
,	,	,
Prime	prime	Prime
Minister	minist	Minister
Erna	erna	Erna
Solberg	solberg	Solberg
said	said	said
.	.	.

Nuclear	nuclear	Nuclear
-armed	-arm	-armed
nations	nation	nation
,	,	,
including	includ	including
the	the	the
United	unit	United
States	state	States
and	and	and
Russia	russia	Russia
,	,	,
back	back	back
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
s	s	s
1968	1968	1968
nuclear	nuclear	nuclear
non	non	non
-proliferation	-prolifer	-proliferation
treaty	treati	treaty
which	which	which
sets	set	set
limits	limit	limit
on	on	on
the	the	the
spread	spread	spread
of	of	of
atomic	atom	atomic
weapons	weapon	weapon
and	and	and
has	has	ha
a	a	a
long	long	long
-term	-term	-term
goal	goal	goal
of	of	of
nuclear	nuclear	nuclear
disarmament	disarma	disarmament
.	.	.

There	there	There
is	is	is
a	a	a
strong	strong	strong
logic	logic	logic
in	in	in
this	this	this
peace	peac	peace
prize	prize	prize
,	,	,
said	said	said
Dan	dan	Dan
Smith	smith	Smith
,	,	,
director	director	director
of	of	of
the	the	the
Stockholm	stockholm	Stockholm
International	intern	International
Peace	peac	Peace
Research	research	Research
Institute	institut	Institute
It	it	It
s	s	s
all	all	all
about	about	about
encouraging	encourag	encouraging
governments	govern	government
to	to	to
do	do	do
what	what	what
they	they	they
have	have	have
promised	promis	promised
to	to	to
do	do	do
in	in	in
the	the	the
non	non	non
-proliferation	-prolifer	-proliferation
treaty	treati	treaty
.	.	.

1	1	1
8	8	8
.	.	.
1556	1556	1556
Swedish	swedish	Swedish
crowns	crown	crown

