RAMALLAH	ramallah	RAMALLAH
demands	demand	demand
that	that	that
Israel	israel	Israel
agree	agre	agree
to	to	to
Trump	trump	Trump
s	s	s
call	call	call
,	,	,
and	and	and
that	that	that
of	of	of
the	the	the
international	intern	international
community	communiti	community
,	,	,
to	to	to
halt	halt	halt
all	all	all
settlement	settlement	settlement
activities	activ	activity
including	includ	including
in	in	in
occupied	occupi	occupied
East	east	East
Jerusalem	jerusalem	Jerusalem
,	,	,
the	the	the
statement	statement	statement
said	said	said
.	.	.
But	but	But
the	the	the
Palestinians	palestinian	Palestinians
stressed	stress	stressed
that	that	that
they	they	they
wanted	want	wanted
the	the	the
two	two	two
-state	-state	-state
option	option	option
.	.	.
The	the	The
Palestinian	palestinian	Palestinian
presidency	presid	presidency
stressed	stress	stressed
its	it	it
commitment	commit	commitment
to	to	to
the	the	the
two	two	two
-state	-state	-state
solution	solut	solution
and	and	and
to	to	to
the	the	the
international	intern	international
law	law	law
and	and	and
international	intern	international
legitimacy	legitimaci	legitimacy
in	in	in
the	the	the
way	way	way
that	that	that
secures	secur	secures
ending	end	ending
the	the	the
Israeli	isra	Israeli
occupation	occup	occupation
and	and	and
establish	establish	establish
the	the	the
Palestinian	palestinian	Palestinian
State	state	State
with	with	with
East	east	East
Jerusalem	jerusalem	Jerusalem
as	as	a
its	it	it
capital	capit	capital
.	.	.
Giving	give	Giving
a	a	a
convoluted	convolut	convoluted
response	respons	response
to	to	to
a	a	a
question	question	question
on	on	on
whether	whether	whether
he	he	he
backed	back	backed
a	a	a
two	two	two
-state	-state	-state
solution	solut	solution
,	,	,
Trump	trump	Trump
suggested	suggest	suggested
that	that	that
he	he	he
could	could	could
abide	abid	abide
by	by	by
whatever	whatev	whatever
the	the	the
two	two	two
parties	parti	party
decided	decid	decided
.	.	.
I	i	I
m	m	m
looking	look	looking
at	at	at
two	two	two
states	state	state
and	and	and
one	one	one
state	state	state
,	,	,
and	and	and
I	i	I
like	like	like
the	the	the
one	one	one
both	both	both
parties	parti	party
like	like	like
,	,	,
he	he	he
said	said	said
as	as	a
he	he	he
stood	stood	stood
alongside	alongsid	alongside
Netanyahu	netanyahu	Netanyahu
.	.	.
I	i	I
can	can	can
live	live	live
with	with	with
either	either	either
one	one	one
.	.	.
Abbas	abba	Abbas
statement	statement	statement
added	ad	added
that	that	that
the	the	the
Palestinians	palestinian	Palestinians
affirmed	affirm	affirmed
their	their	their
readiness	readi	readiness
to	to	to
deal	deal	deal
positively	posit	positively
with	with	with
the	the	the
Trump	trump	Trump
administration	administr	administration
to	to	to
make	make	make
peace	peac	peace
.	.	.
Talks	talk	Talks
have	have	have
been	been	been
frozen	frozen	frozen
since	sinc	since
2014	2014	2014
.	.	.
The	the	The
Palestinians	palestinian	Palestinians
seek	seek	seek
to	to	to
establish	establish	establish
an	an	an
independent	independ	independent
state	state	state
in	in	in
the	the	the
Israeli	isra	Israeli
occupied	occupi	occupied
West	west	West
Bank	bank	Bank
,	,	,
territory	territori	territory
captured	captur	captured
in	in	in
the	the	the
1967	1967	1967
Middle	middl	Middle
East	east	East
war	war	war
and	and	and
the	the	the
Gaza	gaza	Gaza
Strip	strip	Strip
,	,	,
which	which	which
is	is	is
controlled	control	controlled
by	by	by
Islamist	islamist	Islamist
Hamas	hama	Hamas
,	,	,
with	with	with
East	east	East
Jerusalem	jerusalem	Jerusalem
as	as	a
its	it	it
capital	capit	capital
.	.	.
