LOS	los	LOS
likely	like	likely
to	to	to
be	be	be
adversarial	adversari	adversarial
to	to	to
the	the	the
president	presid	president
.	.	.

Uber	uber	Uber
Technologies	technolog	Technologies
Inc	inc	Inc
UBER	uber	UBER
.	.	.
UL	ul	UL
Chief	chief	Chief
Executive	execut	Executive
Officer	offic	Officer
Travis	travi	Travis
Kalanick	kalanick	Kalanick
quit	quit	quit
Trump	trump	Trump
s	s	s
advisory	advisori	advisory
group	group	group
in	in	in
February	februari	February
amid	amid	amid
pressure	pressur	pressure
from	from	from
activists	activist	activist
and	and	and
employees	employe	employee
who	who	who
opposed	oppos	opposed
the	the	the
administration	administr	administration
s	s	s
immigration	immigr	immigration
policies	polici	policy
.	.	.

Iger	iger	Iger
said	said	said
immigration	immigr	immigration
had	had	had
helped	help	helped
Disney	disney	Disney
in	in	in
many	mani	many
ways	way	way
,	,	,
citing	cite	citing
the	the	the
issue	issu	issue
as	as	a
an	an	an
example	exampl	example
of	of	of
something	someth	something
he	he	he
could	could	could
address	address	address
on	on	on
the	the	the
Trump	trump	Trump
advisory	advisori	advisory
council	council	council
.	.	.

The	the	The
United	unit	United
States	state	States
and	and	and
Disney	disney	Disney
have	have	have
benefited	benefit	benefited
from	from	from
an	an	an
open	open	open
and	and	and
fair	fair	fair
immigration	immigr	immigration
policy	polici	policy
,	,	,
Iger	iger	Iger
said	said	said
.	.	.

I	i	I
don	don	don
t	t	t
happen	happen	happen
to	to	to
believe	believ	believe
policies	polici	policy
that	that	that
single	singl	single
people	peopl	people
out	out	out
by	by	by
religion	religion	religion
are	are	are
fair	fair	fair
and	and	and
just	just	just
.	.	.
Iger	iger	Iger
skipped	skip	skipped
the	the	the
first	first	first
meeting	meet	meeting
of	of	of
Trump	trump	Trump
s	s	s
advisory	advisori	advisory
council	council	council
in	in	in
February	februari	February
to	to	to
attend	attend	attend
a	a	a
previously	previous	previously
scheduled	schedul	scheduled
board	board	board
meeting	meet	meeting
.	.	.

He	he	He
fielded	field	fielded
several	sever	several
questions	question	question
on	on	on
political	polit	political
topics	topic	topic
at	at	at
the	the	the
meeting	meet	meeting
with	with	with
another	anoth	another
speaker	speaker	speaker
suggesting	suggest	suggesting
that	that	that
Disney	disney	Disney
-owned	-own	-owned
ABC	abc	ABC
News	news	News
holds	hold	hold
a	a	a
liberal	liber	liberal
political	polit	political
bias	bias	bias
,	,	,
a	a	a
charge	charg	charge
Iger	iger	Iger
vigorously	vigor	vigorously
rejected	reject	rejected
.	.	.

They	they	They
work	work	work
very	veri	very
,	,	,
very	veri	very
hard	hard	hard
to	to	to
present	present	present
news	news	news
in	in	in
a	a	a
fair	fair	fair
way	way	way
,	,	,
Iger	iger	Iger
said	said	said
,	,	,
adding	ad	adding
that	that	that
he	he	he
did	did	did
not	not	not
agree	agre	agree
the	the	the
media	media	medium
was	was	wa
an	an	an
enemy	enemi	enemy
of	of	of
the	the	the
people	peopl	people
,	,	,
as	as	a
Trump	trump	Trump
has	has	ha
written	written	written
on	on	on
Twitter	twitter	Twitter
.	.	.

Iger	iger	Iger
said	said	said
there	there	there
were	were	were
times	time	time
the	the	the
Obama	obama	Obama
administration	administr	administration
disliked	dislik	disliked
coverage	coverag	coverage
by	by	by
ABC	abc	ABC
News	news	News
.	.	.

I	i	I
am	am	am
proud	proud	proud
of	of	of
the	the	the
fact	fact	fact
news	news	news
can	can	can
be	be	be
an	an	an
adversary	adversari	adversary
,	,	,
Iger	iger	Iger
said	said	said
.	.	.

