BEREA	berea	BEREA
,	,	,
Kasich	kasich	Kasich
added	ad	added
I	i	I
will	will	will
not	not	not
take	take	take
the	the	the
low	low	low
road	road	road
to	to	to
the	the	the
highest	highest	highest
office	offic	office
in	in	in
the	the	the
land	land	land
.	.	.
Trump	trump	Trump
,	,	,
69	69	69
,	,	,
notched	notch	notched
wins	win	win
in	in	in
Florida	florida	Florida
,	,	,
Illinois	illinoi	Illinois
and	and	and
North	north	North
Carolina	carolina	Carolina
on	on	on
Tuesday	tuesday	Tuesday
and	and	and
was	was	wa
projected	project	projected
by	by	by
MSNBC	msnbc	MSNBC
to	to	to
win	win	win
a	a	a
close	close	close
race	race	race
with	with	with
Cruz	cruz	Cruz
in	in	in
Missouri	missouri	Missouri
.	.	.
But	but	But
losing	lose	losing
Ohio	ohio	Ohio
s	s	s
winner	winner	winner
-take-all	-take-al	-take-all
contest	contest	contest
for	for	for
66	66	66
delegates	deleg	delegate
complicates	complic	complicates
his	his	his
attempt	attempt	attempt
to	to	to
clinch	clinch	clinch
the	the	the
1	1	1
,	,	,
237	237	237
delegates	deleg	delegate
needed	need	needed
to	to	to
win	win	win
his	his	his
party	parti	party
s	s	s
nomination	nomin	nomination
before	befor	before
the	the	the
party	parti	party
s	s	s
July	juli	July
convention	convent	convention
in	in	in
Cleveland	cleveland	Cleveland
.	.	.
With	with	With
most	most	most
of	of	of
the	the	the
remaining	remain	remaining
states	state	state
allocating	alloc	allocating
delegates	deleg	delegate
proportionally	proport	proportionally
,	,	,
Kasich	kasich	Kasich
s	s	s
aides	aid	aide
believe	believ	believe
he	he	he
could	could	could
prevail	prevail	prevail
at	at	at
a	a	a
convention	convent	convention
at	at	at
which	which	which
no	no	no
candidate	candid	candidate
enters	enter	enters
with	with	with
a	a	a
majority	major	majority
.	.	.
The	the	The
plan	plan	plan
is	is	is
to	to	to
win	win	win
Ohio	ohio	Ohio
,	,	,
and	and	and
some	some	some
other	other	other
states	state	state
,	,	,
and	and	and
if	if	if
that	that	that
happens	happen	happens
,	,	,
nobody	nobodi	nobody
is	is	is
going	go	going
to	to	to
have	have	have
enough	enough	enough
delegates	deleg	delegate
to	to	to
win	win	win
the	the	the
nomination	nomin	nomination
on	on	on
the	the	the
first	first	first
ballot	ballot	ballot
,	,	,
said	said	said
John	john	John
Weaver	weaver	Weaver
,	,	,
Kasich	kasich	Kasich
s	s	s
chief	chief	chief
campaign	campaign	campaign
strategist	strategist	strategist
,	,	,
who	who	who
also	also	also
worked	work	worked
on	on	on
Republican	republican	Republican
Senator	senat	Senator
John	john	John
McCain	mccain	McCain
s	s	s
losing	lose	losing
presidential	presidenti	presidential
campaigns	campaign	campaign
in	in	in
2000	2000	2000
and	and	and
2008	2008	2008
.	.	.
Kasich	kasich	Kasich
s	s	s
plan	plan	plan
,	,	,
according	accord	according
to	to	to
aides	aid	aide
,	,	,
is	is	is
to	to	to
leverage	leverag	leverage
the	the	the
momentum	momentum	momentum
to	to	to
gather	gather	gather
more	more	more
endorsements	endors	endorsement
from	from	from
mainstream	mainstream	mainstream
party	parti	party
insiders	insid	insider
and	and	and
Republican	republican	Republican
donors	donor	donor
.	.	.
With	with	With
the	the	the
wind	wind	wind
at	at	at
his	his	his
back	back	back
,	,	,
he	he	he
hopes	hope	hope
to	to	to
score	score	score
more	more	more
victories	victori	victory
in	in	in
upcoming	upcom	upcoming
primaries	primari	primary
including	includ	including
Pennsylvania	pennsylvania	Pennsylvania
,	,	,
Maryland	maryland	Maryland
,	,	,
Wisconsin	wisconsin	Wisconsin
,	,	,
Connecticut	connecticut	Connecticut
and	and	and
California	california	California
,	,	,
where	where	where
he	he	he
believes	believ	belief
the	the	the
terrain	terrain	terrain
is	is	is
friendlier	friendlier	friendlier
to	to	to
his	his	his
brand	brand	brand
of	of	of
Republican	republican	Republican
moderation	moder	moderation
.	.	.
To	to	To
become	becom	become
the	the	the
nominee	nomine	nominee
who	who	who
faces	face	face
Democratic	democrat	Democratic
contenders	contend	contender
Hillary	hillari	Hillary
Clinton	clinton	Clinton
or	or	or
Bernie	berni	Bernie
Sanders	sander	Sanders
in	in	in
the	the	the
November	novemb	November
election	elect	election
a	a	a
Republican	republican	Republican
needs	need	need
to	to	to
win	win	win
a	a	a
majority	major	majority
of	of	of
the	the	the
2	2	2
,	,	,
472	472	472
Republican	republican	Republican
delegates	deleg	delegate
.	.	.
After	after	After
last	last	last
night	night	night
s	s	s
contests	contest	contest
,	,	,
excluding	exclud	excluding
Missouri	missouri	Missouri
s	s	s
,	,	,
Trump	trump	Trump
leads	lead	lead
with	with	with
619	619	619
delegates	deleg	delegate
,	,	,
followed	follow	followed
by	by	by
Cruz	cruz	Cruz
with	with	with
394	394	394
.	.	.
Kasich	kasich	Kasich
has	has	ha
136	136	136
.	.	.
If	if	If
no	no	no
candidate	candid	candidate
reaches	reach	reach
that	that	that
threshold	threshold	threshold
by	by	by
the	the	the
close	close	close
of	of	of
the	the	the
last	last	last
primary	primari	primary
on	on	on
June	june	June
7	7	7
,	,	,
the	the	the
convention	convent	convention
will	will	will
almost	almost	almost
certainly	certain	certainly
be	be	be
contested	contest	contested
a	a	a
recent	recent	recent
historical	histor	historical
rarity	rariti	rarity
that	that	that
would	would	would
signal	signal	signal
deep	deep	deep
party	parti	party
rifts	rift	rift
.	.	.
No	no	No
convention	convent	convention
,	,	,
by	by	by
either	either	either
party	parti	party
,	,	,
has	has	ha
gone	gone	gone
beyond	beyond	beyond
a	a	a
first	first	first
ballot	ballot	ballot
since	sinc	since
1952	1952	1952
.	.	.
Kasich	kasich	Kasich
has	has	ha
almost	almost	almost
no	no	no
hope	hope	hope
of	of	of
winning	win	winning
enough	enough	enough
delegates	deleg	delegate
to	to	to
secure	secur	secure
the	the	the
nomination	nomin	nomination
outright	outright	outright
.	.	.
Ohio	ohio	Ohio
is	is	is
the	the	the
lone	lone	lone
state	state	state
he	he	he
has	has	ha
won	won	won
.	.	.
But	but	But
if	if	if
he	he	he
can	can	can
succeed	succeed	succeed
in	in	in
blocking	block	blocking
Trump	trump	Trump
from	from	from
getting	get	getting
a	a	a
majority	major	majority
,	,	,
he	he	he
can	can	can
make	make	make
a	a	a
case	case	case
to	to	to
convention	convent	convention
delegates	deleg	delegate
that	that	that
he	he	he
is	is	is
more	more	more
electable	elect	electable
than	than	than
Trump	trump	Trump
or	or	or
Cruz	cruz	Cruz
,	,	,
45	45	45
,	,	,
a	a	a
conservative	conserv	conservative
evangelical	evangel	evangelical
and	and	and
,	,	,
to	to	to
date	date	date
,	,	,
Trump	trump	Trump
s	s	s
most	most	most
successful	success	successful
Republican	republican	Republican
rival	rival	rival
.	.	.
Signs	sign	Signs
of	of	of
the	the	the
Republican	republican	Republican
establishment	establish	establishment
rallying	ralli	rallying
behind	behind	behind
Kasich	kasich	Kasich
were	were	were
on	on	on
show	show	show
this	this	this
week	week	week
.	.	.
Mitt	mitt	Mitt
Romney	romney	Romney
,	,	,
the	the	the
Republican	republican	Republican
presidential	presidenti	presidential
nominee	nomine	nominee
in	in	in
2012	2012	2012
who	who	who
recently	recent	recently
blasted	blast	blasted
Trump	trump	Trump
as	as	a
a	a	a
fraud	fraud	fraud
in	in	in
a	a	a
scathing	scath	scathing
speech	speech	speech
,	,	,
campaigned	campaign	campaigned
with	with	with
Kasich	kasich	Kasich
in	in	in
Ohio	ohio	Ohio
on	on	on
Monday	monday	Monday
.	.	.
He	he	He
has	has	ha
the	the	the
kind	kind	kind
of	of	of
record	record	record
that	that	that
you	you	you
want	want	want
in	in	in
Washington	washington	Washington
,	,	,
Romney	romney	Romney
said	said	said
in	in	in
North	north	North
Canton	canton	Canton
,	,	,
Ohio	ohio	Ohio
,	,	,
on	on	on
a	a	a
stage	stage	stage
next	next	next
to	to	to
Kasich	kasich	Kasich
,	,	,
who	who	who
spent	spent	spent
18	18	18
years	year	year
as	as	a
a	a	a
Republican	republican	Republican
congressman	congressman	congressman
and	and	and
six	six	six
as	as	a
Ohio	ohio	Ohio
governor	governor	governor
.	.	.
You	you	You
look	look	look
at	at	at
this	this	this
guy	guy	guy
,	,	,
and	and	and
unlike	unlik	unlike
the	the	the
other	other	other
people	peopl	people
running	run	running
,	,	,
he	he	he
has	has	ha
a	a	a
real	real	real
track	track	track
record	record	record
.	.	.
On	on	On
Wednesday	wednesday	Wednesday
,	,	,
Kasich	kasich	Kasich
heads	head	head
to	to	to
a	a	a
campaign	campaign	campaign
event	event	event
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
and	and	and
then	then	then
holds	hold	hold
three	three	three
events	event	event
in	in	in
Utah	utah	Utah
on	on	on
Friday	friday	Friday
where	where	where
Romney	romney	Romney
,	,	,
the	the	the
former	former	former
Massachusetts	massachusett	Massachusetts
governor	governor	governor
,	,	,
is	is	is
popular	popular	popular
with	with	with
Republicans	republican	Republicans
.	.	.
Utah	utah	Utah
,	,	,
with	with	with
40	40	40
delegates	deleg	delegate
,	,	,
votes	vote	vote
on	on	on
March	march	March
27	27	27
.	.	.
Pennsylvania	pennsylvania	Pennsylvania
is	is	is
one	one	one
of	of	of
five	five	five
states	state	state
voting	vote	voting
on	on	on
April	april	April
26	26	26
.	.	.
Ford	ford	Ford
O	o	O
Connell	connel	Connell
,	,	,
a	a	a
Republican	republican	Republican
strategist	strategist	strategist
who	who	who
has	has	ha
stayed	stay	stayed
neutral	neutral	neutral
in	in	in
this	this	this
year	year	year
s	s	s
nominating	nomin	nominating
fight	fight	fight
,	,	,
said	said	said
Kasich	kasich	Kasich
s	s	s
victory	victori	victory
should	should	should
earn	earn	earn
him	him	him
more	more	more
help	help	help
from	from	from
party	parti	party
insiders	insid	insider
.	.	.
There	there	There
are	are	are
really	realli	really
just	just	just
two	two	two
options	option	option
left	left	left
Either	either	Either
Trump	trump	Trump
gets	get	get
enough	enough	enough
delegates	deleg	delegate
,	,	,
or	or	or
nobody	nobodi	nobody
does	doe	doe
,	,	,
O	o	O
Connell	connel	Connell
said	said	said
.	.	.
Kasich	kasich	Kasich
s	s	s
win	win	win
in	in	in
Ohio	ohio	Ohio
means	mean	mean
Trump	trump	Trump
must	must	must
now	now	now
win	win	win
roughly	rough	roughly
60	60	60
percent	percent	percent
of	of	of
the	the	the
remaining	remain	remaining
delegates	deleg	delegate
before	befor	before
the	the	the
convention	convent	convention
.	.	.
I	i	I
would	would	would
say	say	say
we	we	we
now	now	now
have	have	have
a	a	a
50	50	50
-50	-50	-50
chance	chanc	chance
of	of	of
a	a	a
brokered	broker	brokered
convention	convent	convention
.	.	.
O	o	O
Connell	connel	Connell
said	said	said
that	that	that
under	under	under
Republican	republican	Republican
party	parti	party
rules	rule	rule
,	,	,
a	a	a
candidate	candid	candidate
must	must	must
receive	receiv	receive
a	a	a
clear	clear	clear
majority	major	majority
of	of	of
primary	primari	primary
votes	vote	vote
overall	overal	overall
to	to	to
become	becom	become
the	the	the
nominee	nomine	nominee
.	.	.
The	the	The
history	histori	history
of	of	of
Republican	republican	Republican
nominating	nomin	nominating
fights	fight	fight
is	is	is
littered	litter	littered
with	with	with
candidates	candid	candidate
who	who	who
received	receiv	received
a	a	a
plurality	plural	plurality
of	of	of
the	the	the
votes	vote	vote
,	,	,
but	but	but
not	not	not
a	a	a
majority	major	majority
,	,	,
and	and	and
never	never	never
became	becam	became
the	the	the
nominee	nomine	nominee
.	.	.
Kasich	kasich	Kasich
s	s	s
aides	aid	aide
are	are	are
looking	look	looking
to	to	to
history	histori	history
as	as	a
a	a	a
guide	guid	guide
,	,	,
particularly	particular	particularly
Wendell	wendel	Wendell
Willkie	willki	Willkie
s	s	s
path	path	path
to	to	to
the	the	the
1940	1940	1940
Republican	republican	Republican
nomination	nomin	nomination
.	.	.
That	that	That
year	year	year
,	,	,
three	three	three
leading	lead	leading
candidates	candid	candidate
Robert	robert	Robert
Taft	taft	Taft
,	,	,
Thomas	thoma	Thomas
Dewey	dewey	Dewey
and	and	and
Arthur	arthur	Arthur
Vandenberg	vandenberg	Vandenberg
each	each	each
arrived	arriv	arrived
at	at	at
the	the	the
convention	convent	convention
without	without	without
enough	enough	enough
delegates	deleg	delegate
to	to	to
win	win	win
.	.	.
Willkie	willki	Willkie
-	-	-
a	a	a
businessman	businessman	businessman
and	and	and
former	former	former
Democrat	democrat	Democrat
who	who	who
had	had	had
never	never	never
before	befor	before
run	run	run
for	for	for
public	public	public
office	offic	office
-	-	-
opposed	oppos	opposed
the	the	the
Republican	republican	Republican
Party	parti	Party
s	s	s
isolationists	isolationist	isolationist
and	and	and
was	was	wa
a	a	a
supporter	support	supporter
of	of	of
Britain	britain	Britain
s	s	s
war	war	war
efforts	effort	effort
.	.	.
His	his	His
cause	caus	cause
gained	gain	gained
momentum	momentum	momentum
after	after	after
the	the	the
Nazi	nazi	Nazi
blitzkrieg	blitzkrieg	blitzkrieg
in	in	in
Europe	europ	Europe
in	in	in
May	may	May
1940	1940	1940
.	.	.
After	after	After
six	six	six
ballots	ballot	ballot
at	at	at
the	the	the
convention	convent	convention
,	,	,
delegates	deleg	delegate
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
,	,	,
New	new	New
York	york	York
and	and	and
Michigan	michigan	Michigan
deserted	desert	deserted
other	other	other
candidates	candid	candidate
and	and	and
switched	switch	switched
to	to	to
Willkie	willki	Willkie
,	,	,
giving	give	giving
him	him	him
victory	victori	victory
.	.	.
Trump	trump	Trump
,	,	,
Cruz	cruz	Cruz
and	and	and
Kasich	kasich	Kasich
could	could	could
face	face	face
the	the	the
same	same	same
scenario	scenario	scenario
this	this	this
year	year	year
,	,	,
which	which	which
would	would	would
force	forc	force
to	to	to
them	them	them
to	to	to
lobby	lobbi	lobby
delegates	deleg	delegate
on	on	on
the	the	the
convention	convent	convention
floor	floor	floor
until	until	until
one	one	one
emerged	emerg	emerged
with	with	with
a	a	a
majority	major	majority
.	.	.
A	a	A
lot	lot	lot
of	of	of
people	peopl	people
who	who	who
do	do	do
not	not	not
want	want	want
Trump	trump	Trump
have	have	have
been	been	been
sitting	sit	sitting
back	back	back
to	to	to
see	see	see
how	how	how
Kasich	kasich	Kasich
and	and	and
Rubio	rubio	Rubio
do	do	do
in	in	in
their	their	their
home	home	home
states	state	state
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
said	said	said
Republican	republican	Republican
strategist	strategist	strategist
Charlie	charli	Charlie
Black	black	Black
,	,	,
who	who	who
signed	sign	signed
up	up	up
on	on	on
Tuesday	tuesday	Tuesday
night	night	night
as	as	a
a	a	a
Kasich	kasich	Kasich
adviser	advis	adviser
.	.	.
