SAN	san	SAN
the	the	the
Puerto	puerto	Puerto
Rico	rico	Rico
Oversight	oversight	Oversight
,	,	,
Management	manag	Management
,	,	,
and	and	and
Economic	econom	Economic
Stability	stabil	Stability
Act	act	Act
PROMESA	promesa	PROMESA
,	,	,
which	which	which
Obama	obama	Obama
has	has	ha
said	said	said
he	he	he
will	will	will
sign	sign	sign
,	,	,
providing	provid	providing
for	for	for
a	a	a
bankruptcy	bankruptci	bankruptcy
-like	-like	-like
debt	debt	debt
restructuring	restructur	restructuring
process	process	process
for	for	for
Puerto	puerto	Puerto
Rico	rico	Rico
,	,	,
as	as	a
well	well	well
as	as	a
federal	feder	federal
oversight	oversight	oversight
of	of	of
its	it	it
finances	financ	finance
.	.	.
While	while	While
PROMESA	promesa	PROMESA
contemplates	contempl	contemplates
a	a	a
stay	stay	stay
on	on	on
litigation	litig	litigation
in	in	in
the	the	the
event	event	event
of	of	of
default	default	default
,	,	,
missed	miss	missed
payments	payment	payment
matter	matter	matter
for	for	for
the	the	the
insurers	insur	insurer
who	who	who
have	have	have
to	to	to
pay	pay	pay
out	out	out
on	on	on
claims	claim	claim
.	.	.
MBIA	mbia	MBIA
s	s	s
National	nation	National
Public	public	Public
Finance	financ	Finance
Guarantee	guarante	Guarantee
insures	insur	insures
about	about	about
139	139	139
million	million	million
of	of	of
the	the	the
PREPA	prepa	PREPA
payment	payment	payment
due	due	due
on	on	on
Friday	friday	Friday
,	,	,
while	while	while
Assured	assur	Assured
Guaranty	guaranti	Guaranty
covers	cover	cover
about	about	about
35	35	35
million	million	million
.	.	.
National	nation	National
insures	insur	insures
another	anoth	another
211	211	211
million	million	million
in	in	in
other	other	other
debt	debt	debt
due	due	due
on	on	on
Friday	friday	Friday
,	,	,
including	includ	including
173	173	173
million	million	million
in	in	in
GO	go	GO
debt	debt	debt
,	,	,
a	a	a
company	compani	company
spokesman	spokesman	spokesman
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
Assured	assur	Assured
covers	cover	cover
another	anoth	another
329	329	329
million	million	million
due	due	due
Friday	friday	Friday
,	,	,
about	about	about
184	184	184
million	million	million
of	of	of
which	which	which
is	is	is
GO	go	GO
debt	debt	debt
,	,	,
a	a	a
spokeswoman	spokeswoman	spokeswoman
said	said	said
.	.	.
Ambac	ambac	Ambac
,	,	,
which	which	which
insures	insur	insures
more	more	more
than	than	than
2	2	2
billion	billion	billion
of	of	of
Puerto	puerto	Puerto
Rican	rican	Rican
bonds	bond	bond
,	,	,
is	is	is
on	on	on
the	the	the
hook	hook	hook
for	for	for
122	122	122
million	million	million
in	in	in
principal	princip	principal
and	and	and
interest	interest	interest
due	due	due
on	on	on
Friday	friday	Friday
,	,	,
including	includ	including
some	some	some
40	40	40
million	million	million
in	in	in
GO	go	GO
or	or	or
GO	go	GO
-guaranteed	-guarante	-guaranteed
debt	debt	debt
,	,	,
according	accord	according
to	to	to
the	the	the
company	compani	company
s	s	s
public	public	public
documents	document	document
.	.	.
