This	this	This
to	to	to
a	a	a
lawyer	lawyer	lawyer
who	who	who
represents	repres	represents
the	the	the
fund	fund	fund
.	.	.
The	the	The
House	hous	House
intelligence	intellig	intelligence
panel	panel	panel
is	is	is
one	one	one
of	of	of
three	three	three
congressional	congression	congressional
committees	committe	committee
and	and	and
a	a	a
special	special	special
counsel	counsel	counsel
investigating	investig	investigating
U	u	U
.	.	.
S	s	S
.	.	.
allegations	alleg	allegation
of	of	of
Russian	russian	Russian
interference	interfer	interference
in	in	in
the	the	the
2016	2016	2016
U	u	U
.	.	.
S	s	S
.	.	.
election	elect	election
,	,	,
and	and	and
the	the	the
possibility	possibl	possibility
of	of	of
collusion	collus	collusion
between	between	between
Trump	trump	Trump
associates	associ	associate
and	and	and
Moscow	moscow	Moscow
.	.	.
Russia	russia	Russia
denies	deni	denies
attempting	attempt	attempting
to	to	to
influence	influenc	influence
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
campaign	campaign	campaign
.	.	.
Trump	trump	Trump
denies	deni	denies
any	ani	any
collusion	collus	collusion
.	.	.
Prince	princ	Prince
was	was	wa
called	call	called
to	to	to
testify	testifi	testify
because	becaus	because
of	of	of
the	the	the
Seychelles	seychell	Seychelles
meeting	meet	meeting
on	on	on
Jan	jan	Jan
.	.	.
11	11	11
,	,	,
2017	2017	2017
,	,	,
which	which	which
The	the	The
Washington	washington	Washington
Post	post	Post
later	later	later
described	describ	described
as	as	a
an	an	an
effort	effort	effort
to	to	to
connect	connect	connect
the	the	the
incoming	incom	incoming
Trump	trump	Trump
administration	administr	administration
with	with	with
Moscow	moscow	Moscow
.	.	.
He	he	He
met	met	met
with	with	with
the	the	the
committee	committe	committee
voluntarily	voluntarili	voluntarily
,	,	,
and	and	and
did	did	did
not	not	not
have	have	have
an	an	an
attorney	attorney	attorney
with	with	with
him	him	him
.	.	.
Prince	princ	Prince
said	said	said
he	he	he
had	had	had
traveled	travel	traveled
to	to	to
the	the	the
Seychelles	seychell	Seychelles
for	for	for
a	a	a
business	busi	business
meeting	meet	meeting
with	with	with
UAE	uae	UAE
officials	offici	official
,	,	,
who	who	who
included	includ	included
Crown	crown	Crown
Prince	princ	Prince
Mohammed	moham	Mohammed
bin	bin	bin
Zayed	zay	Zayed
,	,	,
and	and	and
they	they	they
suggested	suggest	suggested
he	he	he
talk	talk	talk
to	to	to
Dmitriev	dmitriev	Dmitriev
.	.	.
After	after	After
the	the	the
meeting	meet	meeting
,	,	,
they	they	they
mentioned	mention	mentioned
a	a	a
guy	guy	guy
I	i	I
should	should	should
meet	meet	meet
who	who	who
was	was	wa
also	also	also
in	in	in
town	town	town
to	to	to
see	see	see
them	them	them
,	,	,
a	a	a
Kirill	kiril	Kirill
Dmitriev	dmitriev	Dmitriev
from	from	from
Russia	russia	Russia
,	,	,
Prince	princ	Prince
told	told	told
members	member	member
of	of	of
the	the	the
House	hous	House
committee	committe	committee
,	,	,
according	accord	according
to	to	to
the	the	the
transcript	transcript	transcript
.	.	.
I	i	I
didn	didn	didn
t	t	t
fly	fli	fly
there	there	there
to	to	to
meet	meet	meet
any	ani	any
Russian	russian	Russian
guy	guy	guy
,	,	,
Prince	princ	Prince
said	said	said
.	.	.
Prince	princ	Prince
told	told	told
reporters	report	reporter
after	after	after
his	his	his
interview	interview	interview
that	that	that
the	the	the
panel	panel	panel
had	had	had
wasted	wast	wasted
time	time	time
and	and	and
taxpayer	taxpay	taxpayer
money	money	money
on	on	on
a	a	a
fishing	fish	fishing
expedition	expedit	expedition
.	.	.
Prince	princ	Prince
donated	donat	donated
to	to	to
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
,	,	,
made	made	made
multiple	multipl	multiple
visits	visit	visit
to	to	to
Trump	trump	Trump
Tower	tower	Tower
in	in	in
New	new	New
York	york	York
and	and	and
said	said	said
he	he	he
wrote	wrote	wrote
some	some	some
foreign	foreign	foreign
policy	polici	policy
memos	memo	memo
for	for	for
the	the	the
Republican	republican	Republican
candidate	candid	candidate
,	,	,
which	which	which
he	he	he
delivered	deliv	delivered
to	to	to
Trump	trump	Trump
campaign	campaign	campaign
manager	manag	manager
Steve	steve	Steve
Bannon	bannon	Bannon
.	.	.
Democratic	democrat	Democratic
committee	committe	committee
members	member	member
noted	note	noted
that	that	that
Prince	princ	Prince
said	said	said
Bannon	bannon	Bannon
had	had	had
told	told	told
him	him	him
about	about	about
a	a	a
secret	secret	secret
meeting	meet	meeting
at	at	at
Trump	trump	Trump
Tower	tower	Tower
in	in	in
December	decemb	December
2016	2016	2016
with	with	with
UAE	uae	UAE
officials	offici	official
,	,	,
shortly	short	shortly
before	befor	before
the	the	the
January	januari	January
Seychelles	seychell	Seychelles
meeting	meet	meeting
.	.	.
Prince	princ	Prince
said	said	said
he	he	he
had	had	had
met	met	met
Trump	trump	Trump
just	just	just
once	onc	once
,	,	,
at	at	at
a	a	a
fundraiser	fundrais	fundraiser
,	,	,
before	befor	before
he	he	he
was	was	wa
elected	elect	elected
president	presid	president
in	in	in
November	novemb	November
2016	2016	2016
.	.	.
Prince	princ	Prince
s	s	s
sister	sister	sister
,	,	,
Betsy	betsi	Betsy
DeVos	devo	DeVos
,	,	,
is	is	is
Trump	trump	Trump
s	s	s
Secretary	secretari	Secretary
of	of	of
Education	educ	Education
.	.	.
Prince	princ	Prince
said	said	said
he	he	he
had	had	had
discussed	discuss	discussed
U	u	U
.	.	.
S	s	S
.	.	.
-Russia	-russia	-Russia
relations	relat	relation
with	with	with
Dmitriev	dmitriev	Dmitriev
,	,	,
but	but	but
only	onli	only
in	in	in
the	the	the
broadest	broadest	broadest
terms	term	term
.	.	.
If	if	If
Franklin	franklin	Franklin
Roosevelt	roosevelt	Roosevelt
can	can	can
work	work	work
with	with	with
Joseph	joseph	Joseph
Stalin	stalin	Stalin
after	after	after
the	the	the
Ukraine	ukrain	Ukraine
terror	terror	terror
famine	famin	famine
,	,	,
after	after	after
killing	kill	killing
tens	ten	ten
of	of	of
millions	million	million
of	of	of
his	his	his
own	own	own
citizens	citizen	citizen
,	,	,
we	we	we
can	can	can
certainly	certain	certainly
at	at	at
least	least	least
cooperate	cooper	cooperate
with	with	with
the	the	the
Russians	russian	Russians
in	in	in
a	a	a
productive	product	productive
way	way	way
to	to	to
defeat	defeat	defeat
the	the	the
Islamic	islam	Islamic
State	state	State
,	,	,
Prince	princ	Prince
said	said	said
he	he	he
told	told	told
Dmitriev	dmitriev	Dmitriev
.	.	.
Representative	repres	Representative
Adam	adam	Adam
Schiff	schiff	Schiff
,	,	,
the	the	the
top	top	top
Democrat	democrat	Democrat
on	on	on
the	the	the
committee	committe	committee
,	,	,
said	said	said
after	after	after
the	the	the
testimony	testimoni	testimony
was	was	wa
released	releas	released
that	that	that
Prince	princ	Prince
had	had	had
been	been	been
less	less	le
than	than	than
forthcoming	forthcom	forthcoming
and	and	and
sought	sought	sought
to	to	to
represent	repres	represent
his	his	his
meeting	meet	meeting
with	with	with
Dmitriev	dmitriev	Dmitriev
as	as	a
coincidental	coincident	coincidental
.	.	.
Prince	princ	Prince
also	also	also
could	could	could
not	not	not
adequately	adequ	adequately
explain	explain	explain
why	whi	why
he	he	he
traveled	travel	traveled
halfway	halfway	halfway
around	around	around
the	the	the
world	world	world
to	to	to
meet	meet	meet
with	with	with
UAE	uae	UAE
officials	offici	official
and	and	and
,	,	,
ultimately	ultim	ultimately
,	,	,
the	the	the
head	head	head
of	of	of
the	the	the
Russian	russian	Russian
fund	fund	fund
,	,	,
Schiff	schiff	Schiff
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
