PHNOM	phnom	PHNOM
unconstitutional	unconstitut	unconstitutional
and	and	and
urged	urg	urged
supporters	support	supporter
not	not	not
to	to	to
be	be	be
intimidated	intimid	intimidated
.	.	.

Please	pleas	Please
,	,	,
the	the	the
Cambodian	cambodian	Cambodian
people	peopl	people
,	,	,
remember	rememb	remember
that	that	that
I	i	I
am	am	am
with	with	with
you	you	you
.	.	.

Even	even	Even
though	though	though
my	my	my
body	bodi	body
is	is	is
in	in	in
prison	prison	prison
,	,	,
but	but	but
nobody	nobodi	nobody
can	can	can
detain	detain	detain
my	my	my
conscience	conscienc	conscience
,	,	,
he	he	he
said	said	said
.	.	.

He	he	He
called	call	called
on	on	on
the	the	the
international	intern	international
community	communiti	community
for	for	for
help	help	help
.	.	.

Democracy	democraci	Democracy
in	in	in
Cambodia	cambodia	Cambodia
is	is	is
already	alreadi	already
at	at	at
its	it	it
last	last	last
breathe	breath	breathe
,	,	,
he	he	he
said	said	said
.	.	.

A	a	A
spokesman	spokesman	spokesman
from	from	from
Hun	hun	Hun
Sen	sen	Sen
s	s	s
Cambodian	cambodian	Cambodian
People	peopl	People
s	s	s
Party	parti	Party
CPP	cpp	CPP
said	said	said
that	that	that
Kem	kem	Kem
Sokha	sokha	Sokha
had	had	had
confessed	confess	confessed
to	to	to
the	the	the
charges	charg	charge
against	against	against
him	him	him
.	.	.

