ERBIL	erbil	ERBIL
humanitarian	humanitarian	humanitarian
services	servic	service
.	.	.

If	if	If
they	they	they
need	need	need
to	to	to
be	be	be
repatriated	repatri	repatriated
,	,	,
all	all	all
parties	parti	party
involved	involv	involved
should	should	should
also	also	also
ensure	ensur	ensure
they	they	they
have	have	have
these	these	these
rights	right	right
and	and	and
are	are	are
treated	treat	treated
with	with	with
respect	respect	respect
and	and	and
dignity	digniti	dignity
.	.	.

In	in	In
September	septemb	September
,	,	,
aid	aid	aid
agencies	agenc	agency
said	said	said
they	they	they
were	were	were
gravely	grave	gravely
concerned	concern	concerned
about	about	about
the	the	the
fate	fate	fate
of	of	of
the	the	the
families	famili	family
,	,	,
after	after	after
the	the	the
initial	initi	initial
1	1	1
,	,	,
300	300	300
were	were	were
relocated	reloc	relocated
without	without	without
warning	warn	warning
to	to	to
Tal	tal	Tal
Keif	keif	Keif
from	from	from
the	the	the
transit	transit	transit
site	site	site
south	south	south
of	of	of
Mosul	mosul	Mosul
where	where	where
they	they	they
had	had	had
initially	initi	initially
been	been	been
kept	kept	kept
.	.	.

