SAO	sao	SAO
fix	fix	fix
this	this	this
now	now	now
so	so	so
the	the	the
country	countri	country
can	can	can
move	move	move
forward	forward	forward
and	and	and
not	not	not
continue	continu	continue
the	the	the
way	way	way
it	it	it
is	is	is
,	,	,
the	the	the
newspaper	newspap	newspaper
quoted	quot	quoted
him	him	him
as	as	a
saying	say	saying
.	.	.
The	the	The
army	armi	army
command	command	command
did	did	did
not	not	not
immediately	immedi	immediately
respond	respond	respond
to	to	to
request	request	request
for	for	for
comment	comment	comment
.	.	.
Mour	mour	Mour
o	o	o
could	could	could
not	not	not
be	be	be
found	found	found
by	by	by
Reuters	reuter	Reuters
to	to	to
comment	comment	comment
on	on	on
his	his	his
remarks	remark	remark
.	.	.
Mour	mour	Mour
o	o	o
,	,	,
in	in	in
the	the	the
army	armi	army
since	sinc	since
1972	1972	1972
,	,	,
was	was	wa
discharged	discharg	discharged
from	from	from
Brazil	brazil	Brazil
s	s	s
South	south	South
Military	militari	Military
Command	command	Command
and	and	and
transferred	transfer	transferred
to	to	to
the	the	the
federal	feder	federal
capital	capit	capital
of	of	of
Bras	bras	Bras
lia	lia	lia
in	in	in
2015	2015	2015
for	for	for
administrative	administr	administrative
work	work	work
after	after	after
publicly	public	publicly
criticizing	critic	criticizing
former	former	former
Brazilian	brazilian	Brazilian
President	presid	President
Dilma	dilma	Dilma
Rousseff	rousseff	Rousseff
.	.	.
Rousseff	rousseff	Rousseff
was	was	wa
impeached	impeach	impeached
last	last	last
year	year	year
after	after	after
she	she	she
was	was	wa
found	found	found
guilty	guilti	guilty
of	of	of
doctoring	doctor	doctoring
budget	budget	budget
accounts	account	account
.	.	.
Her	her	Her
fall	fall	fall
was	was	wa
accelerated	acceler	accelerated
by	by	by
a	a	a
three	three	three
-year	-year	-year
corruption	corrupt	corruption
scandal	scandal	scandal
known	known	known
as	as	a
Operation	oper	Operation
Car	car	Car
Wash	wash	Wash
,	,	,
which	which	which
has	has	ha
ensnared	ensnar	ensnared
top	top	top
members	member	member
of	of	of
her	her	her
Workers	worker	Workers
Party	parti	Party
and	and	and
her	her	her
ruling	rule	ruling
coalition	coalit	coalition
in	in	in
bribery	briberi	bribery
and	and	and
graft	graft	graft
acts	act	act
.	.	.
