SAN	san	SAN
foreign	foreign	foreign
nationals	nation	national
from	from	from
expressly	expressli	expressly
advocating	advoc	advocating
the	the	the
election	elect	election
or	or	or
defeat	defeat	defeat
of	of	of
a	a	a
candidate	candid	candidate
in	in	in
any	ani	any
advertising	advertis	advertising
medium	medium	medium
.	.	.
But	but	But
as	as	a
long	long	long
as	as	a
online	onlin	online
ads	ad	ad
do	do	do
not	not	not
call	call	call
on	on	on
people	peopl	people
to	to	to
vote	vote	vote
for	for	for
a	a	a
specific	specif	specific
candidate	candid	candidate
,	,	,
they	they	they
are	are	are
not	not	not
prohibited	prohibit	prohibited
as	as	a
a	a	a
campaign	campaign	campaign
finance	financ	finance
matter	matter	matter
,	,	,
said	said	said
Jan	jan	Jan
Baran	baran	Baran
,	,	,
a	a	a
Washington	washington	Washington
lawyer	lawyer	lawyer
who	who	who
frequently	frequent	frequently
represents	repres	represents
Republican	republican	Republican
candidates	candid	candidate
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
Justice	justic	Justice
Department	depart	Department
special	special	special
counsel	counsel	counsel
Robert	robert	Robert
Mueller	mueller	Mueller
was	was	wa
appointed	appoint	appointed
in	in	in
May	may	May
to	to	to
investigate	investig	investigate
alleged	alleg	alleged
Russian	russian	Russian
interference	interfer	interference
as	as	a
well	well	well
as	as	a
potential	potenti	potential
collusion	collus	collusion
between	between	between
Moscow	moscow	Moscow
and	and	and
associates	associ	associate
of	of	of
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
.	.	.
The	the	The
Russian	russian	Russian
government	govern	government
says	say	say
it	it	it
did	did	did
not	not	not
meddle	meddl	meddle
and	and	and
Trump	trump	Trump
has	has	ha
denied	deni	denied
collusion	collus	collusion
.	.	.
Facebook	facebook	Facebook
FB	fb	FB
.	.	.
O	o	O
,	,	,
which	which	which
has	has	ha
become	becom	become
a	a	a
leading	lead	leading
platform	platform	platform
for	for	for
online	onlin	online
political	polit	political
ads	ad	ad
,	,	,
has	has	ha
said	said	said
that	that	that
it	it	it
has	has	ha
not	not	not
found	found	found
any	ani	any
evidence	evid	evidence
that	that	that
Russian	russian	Russian
agents	agent	agent
were	were	were
buying	buy	buying
ads	ad	ad
.	.	.
Facebook	facebook	Facebook
said	said	said
in	in	in
April	april	April
,	,	,
however	howev	however
,	,	,
that	that	that
it	it	it
had	had	had
become	becom	become
a	a	a
battleground	battleground	battleground
for	for	for
governments	govern	government
seeking	seek	seeking
to	to	to
manipulate	manipul	manipulate
public	public	public
opinion	opinion	opinion
in	in	in
other	other	other
countries	countri	country
and	and	and
outlined	outlin	outlined
new	new	new
measures	measur	measure
to	to	to
combat	combat	combat
what	what	what
it	it	it
called	call	called
information	inform	information
operations	oper	operation
.	.	.
Trump	trump	Trump
s	s	s
election	elect	election
campaign	campaign	campaign
spent	spent	spent
some	some	some
70	70	70
million	million	million
on	on	on
highly	high	highly
targeted	target	targeted
Facebook	facebook	Facebook
advertising	advertis	advertising
last	last	last
year	year	year
,	,	,
Brad	brad	Brad
Parscale	parscal	Parscale
,	,	,
the	the	the
digital	digit	digital
director	director	director
of	of	of
the	the	the
campaign	campaign	campaign
,	,	,
told	told	told
Reuters	reuter	Reuters
this	this	this
year	year	year
.	.	.
The	the	The
absence	absenc	absence
of	of	of
rules	rule	rule
governing	govern	governing
online	onlin	online
advertising	advertis	advertising
ties	tie	tie
the	the	the
hands	hand	hand
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Federal	feder	Federal
Election	elect	Election
Commission	commiss	Commission
,	,	,
said	said	said
Ann	ann	Ann
Ravel	ravel	Ravel
,	,	,
a	a	a
former	former	former
Democratic	democrat	Democratic
appointee	appointe	appointee
to	to	to
the	the	the
commission	commiss	commission
.	.	.
The	the	The
law	law	law
seems	seem	seems
to	to	to
totally	total	totally
exempt	exempt	exempt
it	it	it
and	and	and
therefore	therefor	therefore
it	it	it
is	is	is
not	not	not
possible	possibl	possible
either	either	either
to	to	to
reasonably	reason	reasonably
determine	determin	determine
who	who	who
is	is	is
behind	behind	behind
those	those	those
ads	ad	ad
,	,	,
do	do	do
an	an	an
investigation	investig	investigation
to	to	to
find	find	find
out	out	out
or	or	or
penalize	penal	penalize
for	for	for
that	that	that
activity	activ	activity
,	,	,
Ravel	ravel	Ravel
said	said	said
.	.	.
Other	other	Other
laws	law	law
could	could	could
come	come	come
into	into	into
play	play	play
in	in	in
an	an	an
investigation	investig	investigation
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
Foreign	foreign	Foreign
Agents	agent	Agents
Registration	registr	Registration
Act	act	Act
restricts	restrict	restricts
publicity	public	publicity
paid	paid	paid
for	for	for
by	by	by
a	a	a
foreign	foreign	foreign
government	govern	government
such	such	such
as	as	a
Russia	russia	Russia
.	.	.
