MOSCOW	moscow	MOSCOW
but	but	but
has	has	ha
taken	taken	taken
a	a	a
softer	softer	softer
line	line	line
than	than	than
Western	western	Western
governments	govern	government
.	.	.

Putin	putin	Putin
has	has	ha
said	said	said
that	that	that
Pyongyang	pyongyang	Pyongyang
will	will	will
not	not	not
be	be	be
cowed	cow	cowed
into	into	into
giving	give	giving
up	up	up
its	it	it
weapons	weapon	weapon
program	program	program
.	.	.

He	he	He
has	has	ha
accused	accus	accused
Washington	washington	Washington
of	of	of
trying	tri	trying
to	to	to
effect	effect	effect
regime	regim	regime
change	chang	change
in	in	in
North	north	North
Korea	korea	Korea
,	,	,
and	and	and
predicted	predict	predicted
that	that	that
would	would	would
unleash	unleash	unleash
chaos	chao	chaos
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
Treasury	treasuri	Treasury
prices	price	price
surged	surg	surged
on	on	on
the	the	the
report	report	report
of	of	of
a	a	a
possible	possibl	possible
new	new	new
missile	missil	missile
test	test	test
,	,	,
pulling	pull	pulling
yields	yield	yield
lower	lower	lower
,	,	,
as	as	a
investors	investor	investor
cut	cut	cut
risk	risk	risk
out	out	out
of	of	of
their	their	their
portfolios	portfolio	portfolio
and	and	and
sought	sought	sought
the	the	the
safety	safeti	safety
of	of	of
Treasuries	treasuri	Treasuries
.	.	.

Treasury	treasuri	Treasury
prices	price	price
move	move	move
inversely	invers	inversely
to	to	to
their	their	their
yields	yield	yield
.	.	.

Benchmark	benchmark	Benchmark
10	10	10
year	year	year
U	u	U
.	.	.
S	s	S
.	.	.
Treasury	treasuri	Treasury
yields	yield	yield
fell	fell	fell
from	from	from
the	the	the
session	session	session
high	high	high
2	2	2
.	.	.
40	40	40
percent	percent	percent
mark	mark	mark
US10YT	us10yt	US10YT
TWEB	tweb	TWEB
to	to	to
2	2	2
.	.	.
35	35	35
percent	percent	percent
around	around	around
midday	midday	midday
1600	1600	1600
GMT	gmt	GMT
in	in	in
New	new	New
York	york	York
.	.	.

It	it	It
has	has	ha
just	just	just
been	been	been
risk	risk	risk
-off	-off	-off
buying	buy	buying
into	into	into
the	the	the
long	long	long
Columbus	columbus	Columbus
Day	day	Day
weekend	weekend	weekend
.	.	.
.	.	.
.	.	.

You	you	You
look	look	look
at	at	at
the	the	the
charts	chart	chart
,	,	,
it	it	it
has	has	ha
really	realli	really
been	been	been
a	a	a
one	one	one
-way	-way	-way
trade	trade	trade
of	of	of
lower	lower	lower
yields	yield	yield
,	,	,
said	said	said
Justin	justin	Justin
Lederer	leder	Lederer
,	,	,
Treasury	treasuri	Treasury
analyst	analyst	analyst
at	at	at
Cantor	cantor	Cantor
Fitzgerald	fitzgerald	Fitzgerald
in	in	in
New	new	New
York	york	York
.	.	.

