OTTAWA	ottawa	OTTAWA
voice	voic	voice
.	.	.

And	and	And
the	the	the
stupidity	stupid	stupidity
and	and	and
evil	evil	evil
of	of	of
the	the	the
subsequent	subsequ	subsequent
rape	rape	rape
of	of	of
my	my	my
wife	wife	wife
,	,	,
not	not	not
as	as	a
a	a	a
lone	lone	lone
action	action	action
,	,	,
but	but	but
by	by	by
one	one	one
guard	guard	guard
,	,	,
but	but	but
assisted	assist	assisted
by	by	by
the	the	the
captain	captain	captain
of	of	of
the	the	the
guard	guard	guard
and	and	and
supervised	supervis	supervised
by	by	by
the	the	the
commandant	command	commandant
.	.	.

He	he	He
did	did	did
not	not	not
elaborate	elabor	elaborate
on	on	on
what	what	what
he	he	he
meant	meant	meant
by	by	by
pilgrim	pilgrim	pilgrim
,	,	,
or	or	or
on	on	on
the	the	the
murder	murder	murder
or	or	or
rape	rape	rape
.	.	.

Coleman	coleman	Coleman
was	was	wa
not	not	not
at	at	at
the	the	the
news	news	news
conference	confer	conference
.	.	.

Boyle	boyl	Boyle
said	said	said
the	the	the
Taliban	taliban	Taliban
,	,	,
who	who	who
he	he	he
referred	refer	referred
to	to	to
by	by	by
their	their	their
official	offici	official
name	name	name
-	-	-
the	the	the
Islamic	islam	Islamic
Emirate	emir	Emirate
of	of	of
Afghanistan	afghanistan	Afghanistan
-	-	-
had	had	had
carried	carri	carried
out	out	out
an	an	an
investigation	investig	investigation
last	last	last
year	year	year
and	and	and
conceded	conced	conceded
that	that	that
the	the	the
crimes	crime	crime
against	against	against
his	his	his
family	famili	family
were	were	were
perpetrated	perpetr	perpetrated
by	by	by
the	the	the
Haqqani	haqqani	Haqqani
network	network	network
.	.	.

He	he	He
called	call	called
on	on	on
the	the	the
Taliban	taliban	Taliban
to	to	to
provide	provid	provide
my	my	my
family	famili	family
with	with	with
the	the	the
justice	justic	justice
we	we	we
are	are	are
owed	owe	owed
.	.	.

God	god	God
willing	will	willing
,	,	,
this	this	this
litany	litani	litany
of	of	of
stupidity	stupid	stupidity
will	will	will
be	be	be
the	the	the
epitaph	epitaph	epitaph
of	of	of
the	the	the
Haqqani	haqqani	Haqqani
network	network	network
,	,	,
said	said	said
an	an	an
exhausted	exhaust	exhausted
-looking	-look	-looking
Boyle	boyl	Boyle
.	.	.

He	he	He
did	did	did
not	not	not
take	take	take
questions	question	question
form	form	form
reporters	report	reporter
.	.	.

The	the	The
family	famili	family
traveled	travel	traveled
from	from	from
Pakistan	pakistan	Pakistan
to	to	to
London	london	London
and	and	and
then	then	then
to	to	to
Toronto	toronto	Toronto
.	.	.

Boyle	boyl	Boyle
provided	provid	provided
a	a	a
written	written	written
statement	statement	statement
to	to	to
the	the	the
Associated	associ	Associated
Press	press	Press
on	on	on
one	one	one
of	of	of
their	their	their
flights	flight	flight
saying	say	saying
his	his	his
family	famili	family
had	had	had
unparalleled	unparallel	unparalleled
resilience	resili	resilience
and	and	and
determination	determin	determination
.	.	.

AP	ap	AP
reported	report	reported
that	that	that
Coleman	coleman	Coleman
wore	wore	wore
a	a	a
tan	tan	tan
-colored	-color	-colored
headscarf	headscarf	headscarf
and	and	and
sat	sat	sat
with	with	with
the	the	the
two	two	two
older	older	older
children	children	child
in	in	in
the	the	the
business	busi	business
class	class	class
cabin	cabin	cabin
.	.	.

Boyle	boyl	Boyle
sat	sat	sat
with	with	with
their	their	their
youngest	youngest	youngest
child	child	child
on	on	on
his	his	his
lap	lap	lap
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
State	state	State
Department	depart	Department
officials	offici	official
were	were	were
on	on	on
the	the	the
plane	plane	plane
with	with	with
them	them	them
,	,	,
AP	ap	AP
added	ad	added
.	.	.

One	one	One
of	of	of
the	the	the
children	children	child
was	was	wa
in	in	in
poor	poor	poor
health	health	health
and	and	and
had	had	had
to	to	to
be	be	be
force	forc	force
-fed	-fed	-fed
by	by	by
their	their	their
Pakistani	pakistani	Pakistani
rescuers	rescuer	rescuer
,	,	,
Boyle	boyl	Boyle
told	told	told
AP	ap	AP
.	.	.

Reuters	reuter	Reuters
could	could	could
not	not	not
independently	independ	independently
confirm	confirm	confirm
the	the	the
details	detail	detail
.	.	.

They	they	They
are	are	are
expected	expect	expected
to	to	to
travel	travel	travel
to	to	to
Boyle	boyl	Boyle
s	s	s
family	famili	family
home	home	home
in	in	in
Smiths	smith	Smiths
Falls	fall	Falls
,	,	,
80	80	80
km	km	km
50	50	50
miles	mile	mile
southwest	southwest	southwest
of	of	of
Ottawa	ottawa	Ottawa
,	,	,
to	to	to
be	be	be
reunited	reunit	reunited
with	with	with
his	his	his
parents	parent	parent
.	.	.

Canada	canada	Canada
has	has	ha
been	been	been
actively	activ	actively
engaged	engag	engaged
with	with	with
Boyle	boyl	Boyle
s	s	s
case	case	case
at	at	at
all	all	all
levels	level	level
and	and	and
would	would	would
continue	continu	continue
to	to	to
support	support	support
the	the	the
family	famili	family
,	,	,
the	the	the
Canadian	canadian	Canadian
government	govern	government
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

At	at	At
this	this	this
time	time	time
,	,	,
we	we	we
ask	ask	ask
that	that	that
the	the	the
privacy	privaci	privacy
of	of	of
Mr	mr	Mr
Boyle	boyl	Boyle
s	s	s
family	famili	family
be	be	be
respected	respect	respected
,	,	,
it	it	it
said	said	said
.	.	.

The	the	The
journey	journey	journey
home	home	home
was	was	wa
complicated	complic	complicated
by	by	by
Boyle	boyl	Boyle
s	s	s
refusal	refus	refusal
to	to	to
board	board	board
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
aircraft	aircraft	aircraft
in	in	in
Pakistan	pakistan	Pakistan
,	,	,
according	accord	according
to	to	to
two	two	two
U	u	U
.	.	.
S	s	S
.	.	.
officials	offici	official
who	who	who
spoke	spoke	spoke
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
.	.	.

Boyle	boyl	Boyle
instead	instead	instead
asked	ask	asked
to	to	to
be	be	be
flown	flown	flown
to	to	to
Canada	canada	Canada
.	.	.

But	but	But
Boyle	boyl	Boyle
said	said	said
he	he	he
never	never	never
refused	refus	refused
to	to	to
board	board	board
any	ani	any
mode	mode	mode
of	of	of
transportation	transport	transportation
that	that	that
would	would	would
bring	bring	bring
him	him	him
closer	closer	closer
to	to	to
home	home	home
.	.	.

Boyle	boyl	Boyle
had	had	had
once	onc	once
been	been	been
married	marri	married
to	to	to
the	the	the
sister	sister	sister
of	of	of
an	an	an
inmate	inmat	inmate
at	at	at
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
detention	detent	detention
center	center	center
at	at	at
Guantanamo	guantanamo	Guantanamo
Bay	bay	Bay
.	.	.

The	the	The
marriage	marriag	marriage
ended	end	ended
and	and	and
the	the	the
inmate	inmat	inmate
was	was	wa
later	later	later
released	releas	released
to	to	to
Canada	canada	Canada
.	.	.

The	the	The
families	famili	family
of	of	of
the	the	the
captives	captiv	captive
have	have	have
been	been	been
asked	ask	asked
repeatedly	repeat	repeatedly
why	whi	why
Boyle	boyl	Boyle
and	and	and
Coleman	coleman	Coleman
had	had	had
been	been	been
backpacking	backpack	backpacking
in	in	in
such	such	such
a	a	a
dangerous	danger	dangerous
region	region	region
.	.	.

Coleman	coleman	Coleman
was	was	wa
pregnant	pregnant	pregnant
at	at	at
the	the	the
time	time	time
.	.	.

Boyle	boyl	Boyle
told	told	told
the	the	the
news	news	news
conference	confer	conference
he	he	he
had	had	had
been	been	been
in	in	in
Afghanistan	afghanistan	Afghanistan
helping	help	helping
villagers	villag	villager
who	who	who
live	live	live
deep	deep	deep
inside	insid	inside
Taliban	taliban	Taliban
-controlled	-control	-controlled
Afghanistan	afghanistan	Afghanistan
where	where	where
no	no	no
NGO	ngo	NGO
,	,	,
no	no	no
aid	aid	aid
worker	worker	worker
,	,	,
and	and	and
no	no	no
government	govern	government
had	had	had
been	been	been
able	abl	able
to	to	to
reach	reach	reach
.	.	.

The	the	The
Taliban	taliban	Taliban
and	and	and
Haqqani	haqqani	Haqqani
network	network	network
share	share	share
the	the	the
same	same	same
goals	goal	goal
of	of	of
forcing	forc	forcing
out	out	out
foreign	foreign	foreign
troops	troop	troop
and	and	and
ousting	oust	ousting
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
government	govern	government
in	in	in
Kabul	kabul	Kabul
but	but	but
they	they	they
are	are	are
distinct	distinct	distinct
organizations	organ	organization
with	with	with
separate	separ	separate
command	command	command
structures	structur	structure
.	.	.

