PHNOM	phnom	PHNOM
countries	countri	country
have	have	have
condemned	condemn	condemned
the	the	the
arrest	arrest	arrest
of	of	of
Kem	kem	Kem
Sokha	sokha	Sokha
and	and	and
called	call	called
for	for	for
his	his	his
release	releas	release
,	,	,
Hun	hun	Hun
Sen	sen	Sen
has	has	ha
support	support	support
from	from	from
his	his	his
close	close	close
ally	alli	ally
China	china	China
,	,	,
by	by	by
far	far	far
the	the	the
biggest	biggest	biggest
donor	donor	donor
to	to	to
one	one	one
of	of	of
Southeast	southeast	Southeast
Asia	asia	Asia
s	s	s
poorest	poorest	poorest
countries	countri	country
.	.	.

Mu	mu	Mu
Sochua	sochua	Sochua
said	said	said
she	she	she
was	was	wa
still	still	still
hopeful	hope	hopeful
that	that	that
Western	western	Western
countries	countri	country
would	would	would
take	take	take
stronger	stronger	stronger
action	action	action
against	against	against
the	the	the
government	govern	government
,	,	,
but	but	but
did	did	did
not	not	not
specify	specifi	specify
what	what	what
.	.	.

A	a	A
statement	statement	statement
alone	alon	alone
is	is	is
not	not	not
going	go	going
to	to	to
help	help	help
,	,	,
she	she	she
said	said	said
.	.	.

The	the	The
evidence	evid	evidence
presented	present	presented
against	against	against
Kem	kem	Kem
Sokha	sokha	Sokha
so	so	so
far	far	far
is	is	is
a	a	a
video	video	video
from	from	from
2013	2013	2013
in	in	in
which	which	which
he	he	he
tells	tell	tell
supporters	support	supporter
that	that	that
he	he	he
has	has	ha
support	support	support
from	from	from
unidentified	unidentifi	unidentified
Americans	american	Americans
for	for	for
a	a	a
plan	plan	plan
to	to	to
gain	gain	gain
power	power	power
.	.	.

The	the	The
opposition	opposit	opposition
says	say	say
it	it	it
is	is	is
evidence	evid	evidence
of	of	of
an	an	an
election	elect	election
strategy	strategi	strategy
,	,	,
not	not	not
a	a	a
coup	coup	coup
plot	plot	plot
.	.	.

