ATHERTON	atherton	ATHERTON
.	.	.
Fighting	fight	Fighting
climate	climat	climate
change	chang	change
is	is	is
critical	critic	critical
to	to	to
the	the	the
president	presid	president
s	s	s
legacy	legaci	legacy
as	as	a
he	he	he
completes	complet	completes
his	his	his
final	final	final
year	year	year
in	in	in
office	offic	office
.	.	.
