WINSTON	winston	WINSTON
more	more	more
than	than	than
once	onc	once
,	,	,
according	accord	according
to	to	to
the	the	the
campaign	campaign	campaign
.	.	.

McCrory	mccrori	McCrory
representatives	repres	representative
also	also	also
said	said	said
thousands	thousand	thousand
of	of	of
votes	vote	vote
in	in	in
12	12	12
counties	counti	county
may	may	may
have	have	have
been	been	been
part	part	part
of	of	of
an	an	an
absentee	absente	absentee
ballot	ballot	ballot
fraud	fraud	fraud
scheme	scheme	scheme
.	.	.

Several	sever	Several
counties	counti	county
rejected	reject	rejected
election	elect	election
protests	protest	protest
on	on	on
Friday	friday	Friday
,	,	,
including	includ	including
Durham	durham	Durham
County	counti	County
,	,	,
where	where	where
Republicans	republican	Republicans
had	had	had
called	call	called
into	into	into
question	question	question
the	the	the
tabulation	tabul	tabulation
of	of	of
about	about	about
90	90	90
,	,	,
000	000	000
ballots	ballot	ballot
on	on	on
election	elect	election
night	night	night
,	,	,
local	local	local
media	media	medium
reported	report	reported
.	.	.

All	all	All
of	of	of
the	the	the
state	state	state
s	s	s
county	counti	county
elections	elect	election
boards	board	board
are	are	are
controlled	control	controlled
by	by	by
Republicans	republican	Republicans
.	.	.

Elias	elia	Elias
said	said	said
there	there	there
are	are	are
not	not	not
enough	enough	enough
votes	vote	vote
at	at	at
issue	issu	issue
to	to	to
keep	keep	keep
Cooper	cooper	Cooper
from	from	from
winning	win	winning
.	.	.

McCrory	mccrori	McCrory
campaign	campaign	campaign
spokesman	spokesman	spokesman
Ricky	ricki	Ricky
Diaz	diaz	Diaz
called	call	called
that	that	that
claim	claim	claim
presumptuous	presumptu	presumptuous
with	with	with
counting	count	counting
incomplete	incomplet	incomplete
.	.	.

There	there	There
s	s	s
additional	addit	additional
cases	case	case
of	of	of
voter	voter	voter
fraud	fraud	fraud
being	be	being
discovered	discov	discovered
each	each	each
day	day	day
,	,	,
he	he	he
said	said	said
in	in	in
a	a	a
phone	phone	phone
interview	interview	interview
.	.	.

If	if	If
McCrory	mccrori	McCrory
trails	trail	trail
by	by	by
10	10	10
,	,	,
000	000	000
or	or	or
fewer	fewer	fewer
votes	vote	vote
once	onc	once
counties	counti	county
submit	submit	submit
their	their	their
final	final	final
tallies	talli	tally
,	,	,
he	he	he
could	could	could
demand	demand	demand
a	a	a
recount	recount	recount
.	.	.

A	a	A
Cooper	cooper	Cooper
victory	victori	victory
would	would	would
be	be	be
the	the	the
only	onli	only
governorship	governorship	governorship
addition	addit	addition
for	for	for
Democrats	democrat	Democrats
.	.	.

Republicans	republican	Republicans
,	,	,
who	who	who
flipped	flip	flipped
seats	seat	seat
in	in	in
New	new	New
Hampshire	hampshir	Hampshire
,	,	,
Missouri	missouri	Missouri
and	and	and
Vermont	vermont	Vermont
,	,	,
will	will	will
hold	hold	hold
at	at	at
least	least	least
33	33	33
governor	governor	governor
offices	offic	office
next	next	next
year	year	year
,	,	,
the	the	the
most	most	most
for	for	for
the	the	the
party	parti	party
since	sinc	since
1922	1922	1922
.	.	.

